,T1,T2,T3,T4,T5
0,204.93,283.4475,361.96500000000003,440.4825,519.0
1,293.15,319.65,346.15,372.65,399.15
2,199.0,256.4125,313.825,371.23749999999995,428.65
3,166.84,219.645,272.45,325.255,378.06
4,179.7,228.42249999999999,277.145,325.86749999999995,374.59
5,260.15,332.5725,404.995,477.4175,549.84
6,260.15,334.5725,408.995,483.4175,557.84
7,260.15,335.6525,411.155,486.65749999999997,562.16
8,163.3,210.235,257.17,304.105,351.04
9,228.96,290.0075,351.055,412.10249999999996,473.15
10,227.0,287.8375,348.675,409.51250000000005,470.35
11,239.15,264.8,290.45,316.1,341.75
12,261.15,352.5875,444.025,535.4625,626.9
13,176.15,242.8525,309.555,376.25749999999994,442.96
14,200.0,271.7875,343.575,415.36249999999995,487.15
15,277.45,333.8375,390.225,446.6125,503.0
16,338.9,429.125,519.3499999999999,609.5749999999999,699.8
17,204.7,265.865,327.03,388.195,449.36
18,257.9,279.66249999999997,301.42499999999995,323.1875,344.95
19,150.0,219.6625,289.325,358.98749999999995,428.65
20,190.85,246.92499999999998,303.0,359.075,415.15
21,285.15,350.15,415.15,480.15,545.15
22,229.15,298.6125,368.075,437.5375,507.0
23,254.45,323.125,391.79999999999995,460.47499999999997,529.15
24,225.75,307.1,388.45,469.79999999999995,551.15
25,206.74,277.3175,347.895,418.4725,489.05
26,195.15,269.15,343.15,417.15,491.15
27,215.0,283.925,352.85,421.775,490.7
28,216.65,284.525,352.4,420.275,488.15
29,220.65,282.275,343.9,405.525,467.15
30,197.05,252.575,308.1,363.625,419.15
31,210.0,282.2,354.4,426.6,498.8
32,283.15,365.96999999999997,448.78999999999996,531.6099999999999,614.43
33,323.78,377.87249999999995,431.965,486.0575,540.15
34,180.15,229.4625,278.775,328.0875,377.4
35,245.65,355.025,464.4,573.775,683.15
36,236.92,292.69,348.46,404.23,460.0
37,287.52,312.255,336.99,361.72499999999997,386.46
38,258.45,322.7375,387.025,451.3125,515.6
39,188.4,231.32500000000002,274.25,317.175,360.1
40,236.5,297.875,359.25,420.625,482.0
41,243.1,303.1125,363.125,423.1375,483.15
42,290.15,339.15,388.15,437.15,486.15
43,216.2,259.9375,303.67499999999995,347.41249999999997,391.15
44,214.0,256.5375,299.075,341.61249999999995,384.15
45,216.0,254.7125,293.425,332.13750000000005,370.85
46,203.0,274.0375,345.075,416.11249999999995,487.15
47,200.0,255.9125,311.825,367.73749999999995,423.65
48,259.0,323.2875,387.575,451.86249999999995,516.15
49,249.47,305.475,361.48,417.485,473.49
50,241.9,300.555,359.21,417.865,476.52
51,243.95,300.96999999999997,357.99,415.01,472.03
52,291.45,349.0875,406.725,464.3625,522.0
53,287.04,346.3175,405.595,464.8725,524.15
54,267.0,320.35,373.7,427.04999999999995,480.4
55,249.05,289.0375,329.025,369.0125,409.0
56,234.94,265.5325,296.125,326.7175,357.31
57,168.65,213.675,258.7,303.725,348.75
58,262.95,336.0,409.04999999999995,482.09999999999997,555.15
59,164.15,205.1325,246.115,287.09749999999997,328.08
60,176.98,231.30249999999998,285.625,339.9475,394.27
61,199.91,241.9625,284.015,326.0675,368.12
62,287.05,315.0,342.95000000000005,370.90000000000003,398.85
63,174.07,205.5025,236.935,268.3675,299.8
64,171.03,231.9475,292.865,353.7825,414.7
65,206.95,254.0725,301.195,348.3175,395.44
66,152.06,215.59,279.12,342.65,406.18
67,263.26,300.805,338.35,375.895,413.44
68,260.55,298.065,335.58000000000004,373.095,410.61
69,219.15,272.7275,326.305,379.8825,433.46
70,218.05,262.075,306.1,350.125,394.15
71,249.46,304.8825,360.305,415.72749999999996,471.15
72,266.9,319.72249999999997,372.54499999999996,425.3675,478.19
73,273.85,303.70500000000004,333.56,363.41499999999996,393.27
74,237.38,298.22749999999996,359.075,419.9225,480.77
75,193.0,257.45,321.9,386.35,450.8
76,164.65,208.2675,251.885,295.5025,339.12
77,260.0,298.1,336.2,374.29999999999995,412.4
78,190.65,249.6275,308.605,367.5825,426.56
79,243.0,333.7875,424.575,515.3625,606.15
80,243.45,319.825,396.20000000000005,472.57500000000005,548.95
81,252.15,319.6125,387.075,454.5375,522.0
82,190.97,253.4525,315.935,378.4175,440.9
83,289.15,373.65,458.15,542.65,627.15
84,260.3,326.2875,392.275,458.2625,524.25
85,185.0,221.325,257.65,293.975,330.3
86,239.0,275.995,312.99,349.985,386.98
87,221.69,255.35500000000002,289.02,322.685,356.35
88,250.8,292.8025,334.805,376.8075,418.81
89,293.15,313.15,333.15,353.15,373.15
90,202.94,253.1175,303.29499999999996,353.47249999999997,403.65
91,224.3,282.0875,339.875,397.6625,455.45
92,273.15,358.15,443.15,528.15,613.15
93,224.33,283.2475,342.165,401.0825,460.0
94,219.0,249.8875,280.775,311.6625,342.55
95,289.95,337.83,385.71000000000004,433.59000000000003,481.47
96,151.15,196.525,241.89999999999998,287.275,332.65
97,283.15,294.86249999999995,306.575,318.2875,330.0
