smiles,Conductivity,temperature,splits,Conductivity_original,temperature,,mean,-2.099614069
C[Si](C)(C)O[Si](C)(C)C,-0.290252926,1.563097762,train,-2.175152832,0.004879715,,stdev,0.260251512
C[Si](C)(C)O[Si](C)(C)C,-0.639226022,0.2886989,train,-2.265973608,0.00352799,,mean_temp,0.003221774
C[Si](C)(C)O[Si](C)(C)C,-1.023088137,-0.43281417,train,-2.365874304,0.002762698,,stdev_temp,0.001060677
C[Si](C)(C)O[Si](C)(C)C,-1.449598304,-0.897102738,train,-2.47687422,0.002270238,,,
C[Si](C)(C)O[Si](C)(C)C,-1.929431466,-1.220911157,train,-2.601751526,0.001926782,,,
C[Si](C)(C)N[Si](C)(C)C,-0.962460789,0.178611617,train,-2.350095945,0.003411223,,,
C[Si](C)(C)N[Si](C)(C)C,-1.202872768,-0.088011603,train,-2.412663526,0.003128422,,,
C[Si](C)(C)N[Si](C)(C)C,-1.459336661,-0.313811823,train,-2.479408642,0.002888921,,,
C[Si](C)(C)N[Si](C)(C)C,-1.734150318,-0.507497635,train,-2.550929312,0.002683483,,,
C[Si](C)(C)N[Si](C)(C)C,-2.030143315,-0.675464956,train,-2.627961937,0.002505324,,,
CC(S)(C)CC(C)(C)C,0.502707407,1.70019045,train,-1.968783706,0.005025126,,,
CC(S)(C)CC(C)(C)C,0.168519512,0.639395818,train,-2.055756611,0.003899966,,,
CC(S)(C)CC(C)(C)C,-0.197526453,-0.033266357,train,-2.151020627,0.003186489,,,
CC(S)(C)CC(C)(C)C,-0.602150795,-0.497871703,train,-2.256324724,0.002693693,,,
CC(S)(C)CC(C)(C)C,-1.054453703,-0.838019694,train,-2.37403724,0.002332906,,,
CC(C)=CC(C)(C)C,0.367043139,2.613418891,train,-2.004090537,0.005993766,,,
CC(C)=CC(C)(C)C,0.029758912,1.254885049,train,-2.091869267,0.004552801,,,
CC(C)=CC(C)(C)C,-0.340005632,0.422960375,train,-2.188101049,0.003670398,,,
CC(C)=CC(C)(C)C,-0.749179324,-0.138838596,train,-2.294589121,0.003074511,,,
CC(C)=CC(C)(C)C,-1.207175786,-0.543700942,train,-2.413783393,0.002645083,,,
C=C(C)CC(C)(C)C,0.268174806,2.2090204,train,-2.02982117,0.00556483,,,
C=C(C)CC(C)(C)C,-0.053786185,1.089944098,train,-2.113612005,0.004377852,,,
C=C(C)CC(C)(C)C,-0.40521227,0.3643393,train,-2.205071175,0.00360822,,,
C=C(C)CC(C)(C)C,-0.792044904,-0.144287006,train,-2.305744953,0.003068732,,,
C=C(C)CC(C)(C)C,-1.222226204,-0.520600592,train,-2.417700287,0.002669585,,,
CCc1c(C)cc(C)c(C)c1,0.19078595,0.586571043,test,-2.049961737,0.003843936,,,
CCc1c(C)cc(C)c(C)c1,-0.235026112,-0.202616757,test,-2.16077997,0.003006863,,,
CCc1c(C)cc(C)c(C)c1,-0.713975644,-0.709554518,test,-2.28542731,0.002469166,,,
CCc1c(C)cc(C)c(C)c1,-1.261241366,-1.062690445,test,-2.427854042,0.002094603,,,
CCc1c(C)cc(C)c(C)c1,-1.899606817,-1.322799899,test,-2.593989616,0.001818711,,,
c1(C)c(C)c(CC)c(C)cc1,0.245343116,0.586571043,train,-2.035763152,0.003843936,,,
c1(C)c(C)c(CC)c(C)cc1,-0.183739659,-0.219562545,train,-2.147432593,0.002988889,,,
c1(C)c(C)c(CC)c(C)cc1,-0.666832263,-0.732321119,train,-2.273158174,0.002445018,,,
c1(C)c(C)c(CC)c(C)cc1,-1.219516145,-1.087201216,train,-2.41699499,0.002068605,,,
c1(C)c(C)c(CC)c(C)cc1,-1.86527054,-1.347389864,train,-2.585053548,0.001792629,,,
c1(C)c(C)c(C)c(CC)cc1,0.286750656,0.586571043,train,-2.024986777,0.003843936,,,
c1(C)c(C)c(C)c(CC)cc1,-0.144033,-0.228629399,train,-2.137098875,0.002979272,,,
c1(C)c(C)c(C)c(CC)cc1,-0.629283306,-0.744431314,train,-2.263386001,0.002432173,,,
c1(C)c(C)c(C)c(CC)cc1,-1.184794295,-1.100185382,train,-2.407958576,0.002054833,,,
c1(C)c(C)c(C)c(CC)cc1,-1.834413916,-1.360377801,train,-2.577023065,0.001778853,,,
C=C(C)C(C)(C)C,0.481601628,2.735919005,train,-1.974276517,0.006123699,,,
C=C(C)C(C)(C)C,0.167543053,1.44700865,train,-2.056010736,0.004756582,,,
C=C(C)C(C)(C)C,-0.174488124,0.628564995,train,-2.145024867,0.003888478,,,
C=C(C)C(C)(C)C,-0.549966406,0.062756318,train,-2.242743658,0.003288338,,,
C=C(C)C(C)(C)C,-0.966149479,-0.351752701,train,-2.351055932,0.002848678,,,
n1c(C)cc(C)cc1(C),1.067336083,1.080255,train,-1.821838239,0.004367575,,,
n1c(C)cc(C)cc1(C),0.729372476,0.213461072,train,-1.909793779,0.003448187,,,
n1c(C)cc(C)cc1(C),0.35879114,-0.351867722,train,-2.006238132,0.002848556,,,
n1c(C)cc(C)cc1(C),-0.051383137,-0.749703421,train,-2.112986608,0.002426581,,,
n1c(C)cc(C)cc1(C),-0.510633878,-1.044879172,train,-2.232507308,0.002113495,,,
COP(=O)(OC)OC,0.321190049,1.115808722,train,-2.016023873,0.004405286,,,
COP(=O)(OC)OC,0.02409025,0.237969015,train,-2.093344545,0.003474182,,,
COP(=O)(OC)OC,-0.297921132,-0.333536026,train,-2.177148494,0.002868,,,
COP(=O)(OC)OC,-0.649407262,-0.735234354,train,-2.268623291,0.002441928,,,
COP(=O)(OC)OC,-1.036312656,-1.033017875,train,-2.369316005,0.002126076,,,
COB(OC)OC,0.589414334,0.90480189,train,-1.946218097,0.004181476,,,
COB(OC)OC,0.377844905,0.522931473,train,-2.001279361,0.003776435,,,
COB(OC)OC,0.143882987,0.20850763,train,-2.062168304,0.003442933,,,
COB(OC)OC,-0.116017582,-0.054887462,train,-2.12980782,0.003163556,,,
COB(OC)OC,-0.406388978,-0.278744583,train,-2.205377415,0.002926116,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.967611725,0.572694051,train,-1.847791654,0.003829217,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.544149767,-0.363540461,train,-1.957998269,0.002836175,,,
