smiles,temperature,conductivity,splits
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.00555093,-2.585033684,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.004358011,-2.694896097,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.003587122,-2.818335155,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.003047967,-2.959185902,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.002649709,-3.12317981,train
S1C=CC=C1,0.004256406,-1.841015556,test
S1C=CC=C1,0.003766017,-1.880399554,test
S1C=CC=C1,0.003376952,-1.921398402,test
S1C=CC=C1,0.003060748,-1.964150355,test
S1C=CC=C1,0.00279869,-2.008811984,test
CO[Si](OC)(OC)OC,0.003651634,-1.796503062,val
CO[Si](OC)(OC)OC,0.003292669,-1.848284171,val
CO[Si](OC)(OC)OC,0.002997961,-1.90289362,val
CO[Si](OC)(OC)OC,0.002751675,-1.960658473,val
CO[Si](OC)(OC)OC,0.002542782,-2.021965703,val
