smiles,target,task
COC(C)COC(C)CO,4.231426877,vp
C=CCN(CC=C)CC=C,6.17358169,vp
FS(=O)(=O)O,5.774000938,vp
CC(=O)C=O,9.588407093,vp
C/C=CCC,11.10321669,vp
CC(=O)SCC,7.903133763,vp
CC(C)C(=O)C(C)C,7.525864439,vp
CC(O)COC(C)C,6.492445066,vp
c1c(O)c(C)cc(C)c1,2.613956059,vp
CCCCCS,7.485838699,vp
CCCCCCCCCCCCCCCCCC(=O)OCCCC,1.945910149,vd
NC=O,1.20928865,vd
CC(O)=O,0.127953364,vd
CCCCCN,-0.33128571,vd
CCOC(=O)NC,1.130110956,vd
CC(C)N1CCOC1=O,1.291983682,vd
CN(C)C=O,-0.234204499,vd
CCC(C)(C)C,-1.046969056,vd
COC=O,-1.114741671,vd
Cc1cccc(C)[n+]1[O-],1.818888137,vd
C(Cl)(Cl)CCl,-2.018533205,tk
CC(C)(C)CCC(C)(C)C,-2.289902323,tk
CC(F)(F)CC(C)(F)F,-2.38658001,tk
c1ccccc1C(C)OC=O,-2.153552323,tk
C(F)(F)C(F)(F)C(F),-2.486147472,tk
C1(C)=CCCC1,-2.087763387,tk
S1C(C)=CC=C1,-2.056978359,tk
CC1(C)CO1,-1.893628416,tk
C[Hg]C,-2.678773914,tk
CC(C)C(C)C,-2.299897817,tk
