SMILES,lnA,EaR
C=CCC(C)C,22.31901012,-3580.115792
CC(C)=CCC,22.44797402,-3777.527819
C/C=C(C)CC,22.44572367,-3771.026724
C=CCC(C)CC,22.69778369,-4080.599343
C/C=CC(C)C,22.29883589,-3599.003658
C/C=C/C(C)C,22.40864586,-3663.456197
C=C(CC)CC,22.40069547,-3721.611647
C=C(C)C(C)C,22.3483025,-3614.390587
C=CC(C)(C)C,21.90907715,-3297.435187
CC(C)=C(C)C,22.05763469,-3681.263727
C=C(CC)CCC,22.43939991,-4056.971846
C=CCCCCC,22.67645798,-4140.348882
C/C=CCCCC,22.57205937,-4147.734954
C/C=C/CCCC,22.60392463,-4157.230574
CC/C=C/CCC,22.76143006,-4200.012783
C=C(C)CCCC,22.45468343,-4034.479989
C=CC(CC)CC,22.61496871,-4017.152043
C=CC(C)CCC,22.65905245,-4034.537163
C=CC(CC)CCC,22.64548382,-4313.564755
C=CCC(C)CCC,22.70567555,-4366.438756
C/C=CCCCCCC,22.94900341,-4892.668002
C/C=C/CCCCCC,22.98732198,-4902.643766
C=CC1CCCCC1,22.77550241,-4575.917951
CCC1=CCCCC1,22.74620384,-4678.982136
C=C(C)C(C)(C)C,22.10135687,-3754.612413
CC/C=CCCC,22.65273838,-4170.634243
C=CCCCCCC,22.90578659,-4546.613322
C/C=C/CCCCC,22.64534711,-4466.05543
CC1CCCCC=1,22.54180164,-4290.66093
C=C(C)CC(C)(C)C,22.22516856,-4051.763613
CC(C)=CC(C)(C)C,22.49687485,-4208.427817
C=C(CC)CCCC,22.56959023,-4379.847427
C=CCCCCCCC,22.9979106,-4868.856106
C=CCCCCCCCC,23.1946756,-5232.926155
C=CCCCCCCCCC,23.37204275,-5576.259028
C=CCCCCCCCCCC,23.59087111,-5932.565535
C=CCCCCCCCCCCC,23.76978426,-6263.955685
C=CCCCCCCCCCCCC,24.02864483,-6632.463817
C=CCCCCCCCCCCCCC,24.13923834,-6907.88908
C=CCCCCCCCCCCCCCC,24.34214819,-7228.624495
C=CCCCCCCCCCCCCCCCC,24.77713513,-7874.800809
C=CCCCC(C)C,22.75306767,-4393.516805
C1=CCCC1,22.19178052,-3420.941284
C1=CCCCC1,22.20905598,-3843.785403
C/C=C/CCCCCCCCCCCCCCCCC,25.1207233,-8126.712681
C/C=C/CCCCCCCCCCCC,24.18239806,-6870.034216
C1=CCCCCC1,22.2728958,-4194.417608
C1=CCCCCCC1,22.44566698,-4586.359543
C/C=CCCCCC,22.71305756,-4501.822222
CC/C=C/CCCC,22.6598009,-4472.316004
c1ccccc1(C(C)OO),25.90755808,-7817.129529
CCCOCCO,24.13565003,-5468.734418
CCCCOCCOCCO,25.08878171,-6961.37794
c1(N)cc(Cl)ccc1,23.51746268,-6080.919818
c1(Cl)ccc(C(F)(F)F)cc1([N+]([O-])=O),23.8637638,-6165.210214
c1(C(F)(F)F)cc(N(=O)=O)ccc1,23.4697071,-5720.55569
C(Cl)(Cl)(Cl)C=O,22.85301505,-4236.731186
ClC(Cl)C(=O),22.97835813,-4171.7378
ClC(=O)OCC,26.22531205,-5461.710229
O=S(C)(O)=O,27.42538325,-8918.500446
OC(=O)COC,24.65814833,-6335.594969
ClC(=O)OC,23.48994815,-4158.628709
CC(=O)C(=O)O,24.5324794,-5710.056701
ClCOCCl,22.78750402,-4287.074679
N#CCCOCCC#N,25.57762792,-8253.967221
C=C(C)CCCCCC,22.79157474,-4757.69215
C=C(C)CCCCC,22.53308098,-4360.282672
CCC=CCC=CCC=CCCCCCCCC(=O)O,27.83283545,-10417.96587
CCCCC(CC)C(=O)O,26.97375253,-7901.096087
CCCCCCC(=O)O,25.50129145,-7044.404251
CCC(C)(C)C(=O)O,24.10335455,-5854.512948
CCCC(C)(C)C(=O)O,25.24575849,-6665.73425
CCC(CC)C(=O)O,24.53827436,-6150.319624
C1(C)=CCC(C=C)CC1,22.91890761,-4912.801275
C1(=O)OC(=O)C=C(C)1,23.8993037,-6025.502634
CCC(C)OC=O,23.08089072,-4296.496923
CC(C)(C)OC=O,22.19454296,-3805.083026
CCCCCCOC=O,23.55149148,-5217.720501
CCCCCCCOC=O,23.34606851,-5368.093028
C=C=CCCC,22.51747669,-3887.970142
C1(OC=O)CCCCC1,22.9392154,-5024.635892
CC(C)(C)OC(=O)C,22.76360167,-4201.910454
CC(C)C(=O)OC,22.94653019,-4225.908885
CC(C)C(=O)OCC,23.07173255,-4463.265776
C=CC(=O)OC(C)C,22.82377036,-4351.204589
c1(COC=O)ccccc1,23.23288852,-5629.741024
C=C(C)C(=O)OCCCCCCCCCCCCCCCC,24.86785652,-8571.971143
C=C(C)C(=O)OCC=C,23.15445605,-4871.889906
