smiles,lnA,EaR,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,EaR_unnormed,,,,mean,0.001687455,,,,,,
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,1.443603476,0.646230233,0.003193358,train,0.824964605,-5.040763297,1.839105777,,,,stdev,1.273968792,,,,,,
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,1.443603476,0.137262002,0.002831658,train,0.176554962,-5.040763297,1.839105777,,,,,,,,,,,
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,1.443603476,0.893876138,0.003354016,train,1.140457759,-5.040763297,1.839105777,,,,,,,,,,,
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,1.443603476,0.368192608,0.003001651,train,0.470753348,-5.040763297,1.839105777,,,,,,,,,,,
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,1.443603476,0.500595028,0.003094538,train,0.639429898,-5.040763297,1.839105777,,,,,,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,1.500732061,1.069564137,0.003354016,train,1.364278787,-5.053487549,1.911885811,,,,,,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,1.500732061,0.821620336,0.003193358,train,1.048406122,-5.053487549,1.911885811,,,,,,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,1.500732061,0.535861808,0.003001651,train,0.684358675,-5.053487549,1.911885811,,,,,,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,1.500732061,0.900721591,0.003245173,train,1.149178652,-5.053487549,1.911885811,,,,,,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,1.500732061,0.983307258,0.003298697,train,1.254390215,-5.053487549,1.911885811,,,,,,,,,,,
CC(Cl)Cl,-3.108223378,0.7466229,-0.627066151,0.003322259,train,-0.797175251,-3.958092126,0.951174273,,,,,,,,,,,
CC(Cl)Cl,-3.108223378,0.7466229,-0.657072362,0.003281917,train,-0.835402228,-3.958092126,0.951174273,,,,,,,,,,,
CC(Cl)Cl,-3.108223378,0.7466229,-0.725289556,0.003191523,train,-0.922308804,-3.958092126,0.951174273,,,,,,,,,,,
CC(Cl)Cl,-3.108223378,0.7466229,-0.555839778,0.003419271,train,-0.706435075,-3.958092126,0.951174273,,,,,,,,,,,
CC(Cl)Cl,-3.108223378,0.7466229,-0.444489331,0.003568752,train,-0.56457808,-3.958092126,0.951174273,,,,,,,,,,,
FC(F)C(Cl)Cl,-3.369180619,0.909453341,-0.55488582,0.003094538,val,-0.705219762,-4.290543507,1.158615174,,,,,,,,,,,
FC(F)C(Cl)Cl,-3.369180619,0.909453341,-0.368998335,0.003298697,val,-0.468404908,-4.290543507,1.158615174,,,,,,,,,,,
FC(F)C(Cl)Cl,-3.369180619,0.909453341,-0.266852153,0.003411223,val,-0.338273859,-4.290543507,1.158615174,,,,,,,,,,,
FC(F)C(Cl)Cl,-3.369180619,0.909453341,-0.464907815,0.003193358,val,-0.590590592,-4.290543507,1.158615174,,,,,,,,,,,
FC(F)C(Cl)Cl,-3.369180619,0.909453341,-0.597325808,0.003047387,val,-0.759286983,-4.290543507,1.158615174,,,,,,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,2.312475609,3.018836658,0.003277077,train,3.847591145,-5.816135931,2.946021758,,,,,,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,2.312475609,3.578915256,0.003506926,train,4.5611138,-5.816135931,2.946021758,,,,,,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,2.312475609,2.7858443,0.003173092,train,3.550766152,-5.816135931,2.946021758,,,,,,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,2.312475609,3.751030464,0.003595182,train,4.780383204,-5.816135931,2.946021758,,,,,,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,2.312475609,3.256904709,0.003388108,train,4.150882413,-5.816135931,2.946021758,,,,,,,,,,,
CC(N)CN,-5.80614478,1.841019944,2.197740719,0.004199034,train,2.801540544,-7.395159795,2.345401954,,,,,,,,,,,
CC(N)CN,-5.80614478,1.841019944,0.619711778,0.003531697,train,0.791180921,-7.395159795,2.345401954,,,,,,,,,,,
CC(N)CN,-5.80614478,1.841019944,0.123925418,0.003193358,train,0.15956457,-7.395159795,2.345401954,,,,,,,,,,,
CC(N)CN,-5.80614478,1.841019944,0.259980434,0.003298697,train,0.332894415,-7.395159795,2.345401954,,,,,,,,,,,
CC(N)CN,-5.80614478,1.841019944,1.153409343,0.003800114,train,1.471094963,-7.395159795,2.345401954,,,,,,,,,,,
CC(Br)CBr,-3.042381023,1.001749932,-0.068483109,0.002973182,train,-0.085557888,-3.874211021,1.276198151,,,,,,,,,,,
CC(Br)CBr,-3.042381023,1.001749932,0.647330275,0.003656173,train,0.826366024,-3.874211021,1.276198151,,,,,,,,,,,
CC(Br)CBr,-3.042381023,1.001749932,-0.543841135,0.00249302,train,-0.691149178,-3.874211021,1.276198151,,,,,,,,,,,
