smiles,lnA,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,temperature_unnormed,,,,,mean,0.001687455
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,0.646230233,2.152802881,train,0.824964605,-5.040763297,0.003193358,,,,,stdev,1.273968792
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,0.137262002,1.908962759,train,0.176554962,-5.040763297,0.002831658,,,,,mean_temp,0.003220691
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,0.893876138,2.261110501,train,1.140457759,-5.040763297,0.003354016,,,,,stdev_temp,0.00080751
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,0.368192608,2.023563571,train,0.470753348,-5.040763297,0.003001651,,,,,,
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,-3.958064581,0.500595028,2.086183359,train,0.639429898,-5.040763297,0.003094538,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,1.069564137,2.261110501,train,1.364278787,-5.053487549,0.003354016,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,0.821620336,2.152802881,train,1.048406122,-5.053487549,0.003193358,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,0.535861808,2.023563571,train,0.684358675,-5.053487549,0.003001651,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,0.900721591,2.187733972,train,1.149178652,-5.053487549,0.003245173,,,,,,
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,-3.968052465,0.983307258,2.223817187,train,1.254390215,-5.053487549,0.003298697,,,,,,
CC(Cl)Cl,-3.108223378,-0.627066151,2.239701513,train,-0.797175251,-3.958092126,0.003322259,,,,,,
CC(Cl)Cl,-3.108223378,-0.657072362,2.212504947,train,-0.835402228,-3.958092126,0.003281917,,,,,,
CC(Cl)Cl,-3.108223378,-0.725289556,2.151565815,train,-0.922308804,-3.958092126,0.003191523,,,,,,
CC(Cl)Cl,-3.108223378,-0.555839778,2.305102171,train,-0.706435075,-3.958092126,0.003419271,,,,,,
CC(Cl)Cl,-3.108223378,-0.444489331,2.405874814,train,-0.56457808,-3.958092126,0.003568752,,,,,,
FC(F)C(Cl)Cl,-3.369180619,-0.55488582,2.086183359,val,-0.705219762,-4.290543507,0.003094538,,,,,,
FC(F)C(Cl)Cl,-3.369180619,-0.368998335,2.223817187,val,-0.468404908,-4.290543507,0.003298697,,,,,,
FC(F)C(Cl)Cl,-3.369180619,-0.266852153,2.29967661,val,-0.338273859,-4.290543507,0.003411223,,,,,,
FC(F)C(Cl)Cl,-3.369180619,-0.464907815,2.152802881,val,-0.590590592,-4.290543507,0.003193358,,,,,,
FC(F)C(Cl)Cl,-3.369180619,-0.597325808,2.054396504,val,-0.759286983,-4.290543507,0.003047387,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,3.018836658,2.20924206,train,3.847591145,-5.816135931,0.003277077,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,3.578915256,2.364194805,train,4.5611138,-5.816135931,0.003506926,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,2.7858443,2.139140553,train,3.550766152,-5.816135931,0.003173092,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,3.751030464,2.423692604,train,4.780383204,-5.816135931,0.003595182,,,,,,
CC(c1cccc(C)c1)c2cccc(C)c2,-4.566692233,3.256904709,2.284093629,train,4.150882413,-5.816135931,0.003388108,,,,,,
CC(N)CN,-5.80614478,2.197740719,2.83077954,train,2.801540544,-7.395159795,0.004199034,,,,,,
CC(N)CN,-5.80614478,0.619711778,2.380894179,train,0.791180921,-7.395159795,0.003531697,,,,,,
CC(N)CN,-5.80614478,0.123925418,2.152802881,train,0.15956457,-7.395159795,0.003193358,,,,,,
CC(N)CN,-5.80614478,0.259980434,2.223817187,train,0.332894415,-7.395159795,0.003298697,,,,,,
CC(N)CN,-5.80614478,1.153409343,2.561847549,train,1.471094963,-7.395159795,0.003800114,,,,,,
CC(Br)CBr,-3.042381023,-0.068483109,2.00437119,train,-0.085557888,-3.874211021,0.002973182,,,,,,
CC(Br)CBr,-3.042381023,0.647330275,2.464809698,train,0.826366024,-3.874211021,0.003656173,,,,,,
CC(Br)CBr,-3.042381023,-0.543841135,1.68066989,train,-0.691149178,-3.874211021,0.00249302,,,,,,
CC(Br)CBr,-3.042381023,-0.276823405,1.860854054,train,-0.350976923,-3.874211021,0.002760296,,,,,,
CC(Br)CBr,-3.042381023,0.467004238,2.356673986,train,0.59663628,-3.874211021,0.00349577,,,,,,
CCCCCCCCC1CCCc2c(C)ccc(C)c12,-6.762218393,2.107428836,2.168033956,train,2.686486023,-8.613167741,0.003215951,,,,,,
CCCCCCCCC1CCCc2c(C)ccc(C)c12,-6.762218393,2.774954665,2.29967661,train,3.536893097,-8.613167741,0.003411223,,,,,,
CCCCCCCCC1CCCc2c(C)ccc(C)c12,-6.762218393,1.491849193,2.023563571,train,1.902256769,-8.613167741,0.003001651,,,,,,
CCCCCCCCC1CCCc2c(C)ccc(C)c12,-6.762218393,0.774830572,1.811988278,train,0.988797423,-8.613167741,0.002687811,,,,,,
CCCCCCCCC1CCCc2c(C)ccc(C)c12,-6.762218393,0.551347623,1.736829296,train,0.704087121,-8.613167741,0.002576324,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,2.647493159,2.29967661,train,3.374511116,-10.55846929,0.003411223,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,0.717916547,1.811988278,train,0.916290732,-10.55846929,0.002687811,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,2.029937151,2.168033956,train,2.587764035,-10.55846929,0.003215951,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,3.548473465,2.468058427,train,4.522331908,-10.55846929,0.003660992,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,1.441790855,2.023563571,train,1.838484009,-10.55846929,0.003001651,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,0.602443652,1.811988278,train,0.769181867,-9.960702929,0.002687811,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,2.381334774,2.29967661,train,3.03543364,-9.960702929,0.003411223,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,1.812340948,2.168033956,train,2.310553263,-9.960702929,0.003215951,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,1.264665744,2.023563571,train,1.612832146,-9.960702929,0.003001651,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,3.231013888,2.468058427,train,4.117898315,-9.960702929,0.003660992,,,,,,
BrC=CBr,-2.625475467,-0.621165559,1.77937087,train,-0.789658081,-3.343086353,0.002639428,,,,,,
BrC=CBr,-2.625475467,-0.257005978,2.100483433,train,-0.32573014,-3.343086353,0.00311575,,,,,,
BrC=CBr,-2.625475467,-0.449474906,1.92685875,train,-0.570929548,-3.343086353,0.002858204,,,,,,
BrC=CBr,-2.625475467,-0.572561969,1.820797398,train,-0.727738625,-3.343086353,0.002700878,,,,,,
BrC=CBr,-2.625475467,-0.507111693,1.877332981,train,-0.644357016,-3.343086353,0.00278474,,,,,,
CC(C)(Br)CBr,-3.218181622,-0.554726939,1.622152305,train,-0.705017353,-4.098175498,0.002406218,,,,,,
CC(C)(Br)CBr,-3.218181622,-0.411772772,1.70718489,train,-0.522898205,-4.098175498,0.002532351,,,,,,
CC(C)(Br)CBr,-3.218181622,0.703914511,2.350429333,train,0.898452574,-4.098175498,0.003486507,,,,,,
CC(C)(Br)CBr,-3.218181622,-0.194845891,1.838023284,train,-0.246540129,-4.098175498,0.00272643,,,,,,
CC(C)(Br)CBr,-3.218181622,-0.08141501,1.905724816,train,-0.102032726,-4.098175498,0.002826855,,,,,,
Clc1ccccc1Cl,-2.958583688,-0.5732123,1.714740092,train,-0.728567126,-3.767455831,0.002543558,,,,,,
Clc1ccccc1Cl,-2.958583688,-0.808299304,1.545330195,train,-1.028060633,-3.767455831,0.002292264,,,,,,
Clc1ccccc1Cl,-2.958583688,-0.713532743,1.615311029,train,-0.907330991,-3.767455831,0.00239607,,,,,,
Clc1ccccc1Cl,-2.958583688,-0.881863064,1.492308283,train,-1.121778567,-3.767455831,0.002213614,,,,,,
Clc1ccccc1Cl,-2.958583688,-0.478629043,1.782758474,train,-0.608071008,-3.767455831,0.002644453,,,,,,
ClCCCl,-3.257657837,-0.16392445,2.285332043,train,-0.207147178,-4.148466963,0.003389945,,,,,,
ClCCCl,-3.257657837,-0.618059581,1.947847742,train,-0.785701162,-4.148466963,0.002889338,,,,,,
ClCCCl,-3.257657837,-0.087435988,2.341775267,train,-0.109703265,-4.148466963,0.00347367,,,,,,
ClCCCl,-3.257657837,-0.508758074,2.030695406,train,-0.646454453,-4.148466963,0.00301223,,,,,,
ClCCCl,-3.257657837,-0.679097148,1.903196079,train,-0.863461118,-4.148466963,0.002823104,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,-0.449474906,2.582951146,train,-0.570929548,-4.113115104,0.003831418,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,-0.361510693,2.664625115,train,-0.458865885,-4.113115104,0.003952569,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,-0.004470656,2.996222737,train,-0.004008021,-4.113115104,0.004444444,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,-0.531406045,2.50613443,train,-0.675307262,-4.113115104,0.003717472,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,0.177590388,3.165024549,train,0.227932068,-4.113115104,0.004694836,,,,,,
C=CC=C,-4.159232302,-1.313219588,2.468058427,train,-1.671313316,-5.297044696,0.003660992,,,,,,
C=CC=C,-4.159232302,-1.584884669,2.223817187,train,-2.017406151,-5.297044696,0.003298697,,,,,,
C=CC=C,-4.159232302,-1.762997379,2.086183359,train,-2.244316185,-5.297044696,0.003094538,,,,,,
C=CC=C,-4.159232302,-1.406195296,2.380894179,train,-1.789761467,-5.297044696,0.003531697,,,,,,
C=CC=C,-4.159232302,-1.848998074,2.023563571,train,-2.353878387,-5.297044696,0.003001651,,,,,,
C1CC=CC=C1,-3.400276787,-0.387522307,2.308733818,train,-0.49200387,-4.330159055,0.003424658,,,,,,
C1CC=CC=C1,-3.400276787,-0.695840845,2.071440369,train,-0.884792065,-4.330159055,0.003072669,,,,,,
C1CC=CC=C1,-3.400276787,-0.886940525,1.925868423,train,-1.128247094,-4.330159055,0.002856735,,,,,,
C1CC=CC=C1,-3.400276787,-0.918872523,1.900888463,train,-1.168927463,-4.330159055,0.002819681,,,,,,
C1CC=CC=C1,-3.400276787,-0.593310717,2.150742003,train,-0.754171882,-4.330159055,0.003190301,,,,,,
Clc1cccc(Cl)c1,-2.931244159,-0.960106387,1.513413903,train,-1.221458119,-3.732626125,0.002244921,,,,,,
Clc1cccc(Cl)c1,-2.931244159,-0.661974335,1.74041645,train,-0.841647189,-3.732626125,0.002581645,,,,,,
Clc1cccc(Cl)c1,-2.931244159,-0.40952496,1.933047449,train,-0.520034563,-3.732626125,0.002867384,,,,,,
Clc1cccc(Cl)c1,-2.931244159,-0.77710804,1.652531535,train,-0.988323935,-3.732626125,0.002451281,,,,,,
Clc1cccc(Cl)c1,-2.931244159,-0.827401995,1.614924067,train,-1.052396865,-3.732626125,0.002395496,,,,,,
Fc1cccc(F)c1,-3.107105168,-0.436659697,2.29967661,train,-0.554603371,-3.956667562,0.003411223,,,,,,
Fc1cccc(F)c1,-3.107105168,-0.763725534,2.023563571,train,-0.97127504,-3.956667562,0.003001651,,,,,,
Fc1cccc(F)c1,-3.107105168,-0.690534557,2.086183359,train,-0.87803202,-3.956667562,0.003094538,,,,,,
Fc1cccc(F)c1,-3.107105168,-0.609155182,2.139140553,train,-0.774357236,-3.956667562,0.003173092,,,,,,
Fc1cccc(F)c1,-3.107105168,-0.526486649,2.223817187,train,-0.669040105,-3.956667562,0.003298697,,,,,,
COc1cccc(OC)c1,-3.595550772,-1.052094189,1.389570492,train,-1.338647708,-4.578932018,0.002061218,,,,,,
COc1cccc(OC)c1,-3.595550772,-0.474028599,1.714740092,train,-0.602210186,-4.578932018,0.002543558,,,,,,
COc1cccc(OC)c1,-3.595550772,-0.878496245,1.48769777,train,-1.117489344,-4.578932018,0.002206775,,,,,,
COc1cccc(OC)c1,-3.595550772,-0.820685338,1.520582142,train,-1.043840053,-4.578932018,0.002255554,,,,,,
COc1cccc(OC)c1,-3.595550772,-0.312055389,1.805195541,train,-0.395861372,-4.578932018,0.002677735,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,-0.330700565,1.347895876,train,-0.419614744,-4.956622678,0.0019994,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,1.001959197,1.806646312,train,1.278152203,-4.956622678,0.002679887,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,-0.209751389,1.409913648,train,-0.265529268,-4.956622678,0.002091394,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,-0.040761337,1.494292982,train,-0.050241216,-4.956622678,0.002216558,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,0.397918495,1.674283665,train,0.5086232,-4.956622678,0.002483547,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,-0.552822878,1.800374693,train,-0.702591639,-3.778181704,0.002670584,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,-0.877057731,1.557108947,train,-1.115656723,-3.778181704,0.002309736,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,-0.420561092,1.899817238,train,-0.534094251,-3.778181704,0.002818092,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,-0.935468249,1.513413903,train,-1.190069899,-3.778181704,0.002244921,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,-0.724303068,1.672206608,train,-0.921052049,-3.778181704,0.002480466,,,,,,
Fc1ccc(F)cc1,-3.134911296,-0.352864437,2.29967661,train,-0.447850825,-3.992091701,0.003411223,,,,,,
Fc1ccc(F)cc1,-3.134911296,-0.616855012,2.086183359,train,-0.784166579,-3.992091701,0.003094538,,,,,,
Fc1ccc(F)cc1,-3.134911296,-0.445318064,2.223817187,train,-0.56563386,-3.992091701,0.003298697,,,,,,
Fc1ccc(F)cc1,-3.134911296,-0.533722669,2.139140553,train,-0.678258568,-3.992091701,0.003173092,,,,,,
Fc1ccc(F)cc1,-3.134911296,-0.694510906,2.023563571,train,-0.883097765,-3.992091701,0.003001651,,,,,,
COc1ccc(OC)cc1,-3.493169359,-0.640418329,1.625437439,train,-0.814185509,-4.448501292,0.002411091,,,,,,
COc1ccc(OC)cc1,-3.493169359,-0.885486468,1.486713511,train,-1.12639467,-4.448501292,0.002205315,,,,,,
COc1ccc(OC)cc1,-3.493169359,-0.940126711,1.455576537,train,-1.196004635,-4.448501292,0.002159128,,,,,,
COc1ccc(OC)cc1,-3.493169359,-0.825380956,1.520925285,train,-1.049822124,-4.448501292,0.002256063,,,,,,
COc1ccc(OC)cc1,-3.493169359,-0.497157636,1.706493212,train,-0.631675858,-4.448501292,0.002531325,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,1.243093765,2.023563571,train,1.585350117,-9.638467507,0.003001651,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,2.311147058,2.29967661,train,2.946016681,-9.638467507,0.003411223,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,1.765493171,2.168033956,train,2.250870657,-9.638467507,0.003215951,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,3.147501614,2.468058427,train,4.011506284,-9.638467507,0.003660992,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,0.611844346,1.811988278,train,0.781158058,-9.638467507,0.002687811,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,0.742641382,1.811988278,train,0.947789399,-11.61249086,0.002687811,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,2.704742219,2.29967661,train,3.447444633,-11.61249086,0.003411223,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,2.053769335,2.168033956,train,2.618125494,-11.61249086,0.003215951,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,1.44378596,2.023563571,train,1.841025711,-11.61249086,0.003001651,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,3.721836876,2.468058427,train,4.743191484,-11.61249086,0.003660992,,,,,,
CC(C)CBr,-3.142374197,-0.829879241,1.907989961,train,-1.055552799,-4.001599204,0.002830215,,,,,,
CC(C)CBr,-3.142374197,-0.52986542,2.150467624,train,-0.673344553,-4.001599204,0.003189894,,,,,,
CC(C)CBr,-3.142374197,-0.593978474,2.096629316,train,-0.755022584,-4.001599204,0.003110033,,,,,,
CC(C)CBr,-3.142374197,-0.712755181,1.998547881,train,-0.906340401,-4.001599204,0.002964544,,,,,,
CC(C)CBr,-3.142374197,-0.888397281,1.867038034,train,-1.130102956,-4.001599204,0.002769469,,,,,,
CCCBr,-2.949911191,-0.796105683,2.039665648,train,-1.01252634,-3.756407341,0.003025536,,,,,,
CCCBr,-2.949911191,-0.467320205,2.350511579,train,-0.593663902,-3.756407341,0.003486629,,,,,,
CCCBr,-2.949911191,-0.48645396,2.339515515,train,-0.618039708,-3.756407341,0.003470318,,,,,,
CCCBr,-2.949911191,-0.349921796,2.463638699,train,-0.444101992,-3.756407341,0.003654436,,,,,,
CCCBr,-2.949911191,-0.612910108,2.210111039,train,-0.779140894,-3.756407341,0.003278366,,,,,,
CCCCS,-3.20604067,-0.579089647,2.223817187,train,-0.736054682,-4.082708304,0.003298697,,,,,,
CCCCS,-3.20604067,-0.732429108,2.086183359,train,-0.93140437,-4.082708304,0.003094538,,,,,,
CCCCS,-3.20604067,-0.492300904,2.29967661,train,-0.625488532,-4.082708304,0.003411223,,,,,,
CCCCS,-3.20604067,-0.814246748,2.023563571,train,-1.03563749,-4.082708304,0.003001651,,,,,,
CCCCS,-3.20604067,-0.645752088,2.152802881,train,-0.820980552,-4.082708304,0.003193358,,,,,,
CCCCO,-5.373495733,2.782683732,3.021063148,train,3.546739687,-6.843978411,0.004481291,,,,,,
CCCCO,-5.373495733,0.397021169,2.132981517,train,0.507480034,-6.843978411,0.003163956,,,,,,
CCCCO,-5.373495733,0.616502808,2.223817187,train,0.787092793,-6.843978411,0.003298697,,,,,,
CCCCO,-5.373495733,0.735366778,2.261097018,train,0.938521781,-6.843978411,0.003353996,,,,,,
CCCCO,-5.373495733,0.720737288,2.261096343,train,0.919884267,-6.843978411,0.003353995,,,,,,
CC(C)CCl,-3.305108939,-0.543058144,2.364609407,train,-0.690151672,-4.208918187,0.003507541,,,,,,
CC(C)CCl,-3.305108939,-0.648253634,2.272773973,train,-0.824167443,-4.208918187,0.003371317,,,,,,
CC(C)CCl,-3.305108939,-0.426744997,2.468058427,train,-0.541972353,-4.208918187,0.003660992,,,,,,
CC(C)CCl,-3.305108939,-0.896458128,2.062315072,train,-1.140372223,-4.208918187,0.003059133,,,,,,
CC(C)CCl,-3.305108939,-0.808738314,2.136226202,train,-1.028619917,-4.208918187,0.003168769,,,,,,
CC(F)(F)Cl,-2.621296563,-0.621165559,2.664625115,val,-0.789658081,-3.33776256,0.003952569,,,,,,
CC(F)(F)Cl,-2.621296563,-0.710814639,2.543963019,val,-0.903868212,-3.33776256,0.003773585,,,,,,
CC(F)(F)Cl,-2.621296563,-0.962239401,2.21032879,val,-1.224175512,-3.33776256,0.003278689,,,,,,
CC(F)(F)Cl,-2.621296563,-0.55488582,2.751633634,val,-0.705219762,-3.33776256,0.004081633,,,,,,
CC(F)(F)Cl,-2.621296563,-0.767049832,2.469414817,val,-0.975510092,-3.33776256,0.003663004,,,,,,
CCCCl,-3.128583722,-1.005035457,2.121102991,train,-1.278696351,-3.984030569,0.003146336,,,,,,
CCCCl,-3.128583722,-0.900643217,2.223817187,train,-1.145703896,-3.984030569,0.003298697,,,,,,
CCCCl,-3.128583722,-0.779854464,2.342425822,train,-0.991822794,-3.984030569,0.003474635,,,,,,
CCCCl,-3.128583722,-0.901137051,2.221032946,train,-1.146333025,-3.984030569,0.003294567,,,,,,
CCCCl,-3.128583722,-0.936501076,2.185039394,train,-1.191385689,-3.984030569,0.003241176,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,0.694654749,2.261110501,train,0.886655927,-4.656538028,0.003354016,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,0.231912883,2.023563571,train,0.297137231,-4.656538028,0.003001651,,,,,,
