T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
-2.066983439,-2.10512897511693,-2.117342766,-2.14621359332629,-2.170373268,-2.18168270265307,-2.226374266,-2.21261389917788,-2.285698394,-2.23982569469882
-2.475420585,-2.18035214121668,-2.551946922,-2.43500382574207,-2.634818466,-2.60576702958509,-2.725183364,-2.72823182563575,-2.82453267,-2.8203505858925
-1.303412365,-1.50589549726325,-1.312626217,-1.54787658027857,-1.321925754,-1.58394581782011,-1.331312586,-1.61526987783305,-1.340788365,-1.64272728153435
-1.995596987,-1.98243446242589,-2.097154901,-2.1742153425749,-2.210204929,-2.29576386613145,-2.337683757,-2.37968920622648,-2.483820919,-2.44111838915636
-1.896015428,-2.06236163481806,-1.956936163,-2.10937933079616,-2.021810384,-2.14578493847566,-2.091187051,-2.17480706199436,-2.165738047,-2.19848497142199
-2.19518933,-2.06131844009233,-2.264872986,-2.19675564470752,-2.339778611,-2.29366654077073,-2.420752718,-2.36644275154203,-2.508865959,-2.42310159286674
-1.851279157,-1.89263373955683,-1.921809721,-2.06200497678278,-1.997694896,-2.1864376298889,-2.079815008,-2.28172197277783,-2.169287075,-2.35702630656925
-1.827191649,-1.86118497787576,-1.895506946,-1.96000182505034,-1.968833671,-2.03255690207932,-2.047965694,-2.08809146456117,-2.133901875,-2.13196584034056
-1.892888975,-1.81153586971159,-1.982530264,-2.00090209789463,-2.081005495,-2.10756395151547,-2.190248061,-2.17599117257174,-2.312904948,-2.22361780752586
-1.626972137,-1.68658037975738,-1.705015747,-1.8280581056656,-1.789669695,-1.92570368924688,-1.882158277,-1.99715467488297,-1.984080949,-2.05170517461085
-1.748863068,-1.64641362702894,-1.837326888,-1.85332811303749,-1.93438279,-1.97366931062049,-2.041881112,-2.05237069730767,-2.162342849,-2.10785673197852
-1.795596936,-1.57690346482028,-1.875468643,-1.88148615494868,-1.962277965,-2.06479939516791,-2.057345734,-2.18724374550205,-2.162410049,-2.27481963089804
-1.763775985,-1.76252714196001,-1.851156524,-1.92548163580491,-1.946909878,-2.02111415407685,-2.052812319,-2.08400170736332,-2.171273173,-2.12850380859337
-1.737807802,-1.85485680127784,-1.867099916,-1.95710176030762,-2.006479375,-2.02381321257917,-2.154519139,-2.07077240126025,-2.306232204,-2.10562067778828
-1.741174745,-1.69125464217464,-1.85061594,-1.91346274005023,-1.973523354,-2.05414738733972,-2.113682054,-2.15121845289727,-2.276738025,-2.22223495278425
-1.719151712,-1.97712737702653,-1.775172561,-2.13359920208787,-1.834518968,-2.2281922283697,-1.897610817,-2.29155296849798,-1.964952908,-2.33695781331885
-1.920996364,-1.88515216465549,-2.007599636,-2.08992578318251,-2.102420309,-2.22580656432146,-2.207182864,-2.32255511823821,-2.324218951,-2.39494787039049
-1.92683665,-1.91940066237539,-2.032374812,-2.12608824056563,-2.15037995,-2.26312843313999,-2.284196975,-2.36064839860133,-2.438728626,-2.43358963511652
-2.146395626,-2.08624579432072,-2.293943078,-2.27755964793716,-2.454993163,-2.39146636922283,-2.627601897,-2.46704017068542,-2.802816828,-2.52084441355287
-1.898493531,-1.75831716599648,-2.036291893,-2.08885028356123,-2.186108905,-2.2568242433516,-2.346354612,-2.35849201646109,-2.508759362,-2.42664258043532
-2.275526376,-2.15140866772749,-2.382679961,-2.34424336129881,-2.502708864,-2.47273539002297,-2.639135232,-2.56448416073238,-2.797158962,-2.63327848796919
-1.95530361,-1.90245368285646,-2.041364736,-2.08228715228871,-2.135535805,-2.19873435850498,-2.239505835,-2.28028700441046,-2.355553477,-2.34058599981692
-1.979079888,-1.94703597725422,-2.052535235,-2.10967383191037,-2.131817085,-2.22474427140874,-2.217930012,-2.31045345408453,-2.312163116,-2.37676757672018
-1.991234347,-1.93254424522714,-2.075138493,-2.09510805501043,-2.166732696,-2.20307156308075,-2.267570135,-2.27998729033736,-2.379727943,-2.33756472458813
-1.980815531,-1.87060883853956,-2.08182403,-2.10011724264602,-2.194193544,-2.23063911113059,-2.320807482,-2.3148532580381,-2.4658087,-2.37369076744009
-2.07352212,-1.97397695696941,-2.162505014,-2.09749299514957,-2.260186157,-2.17981501541076,-2.368452171,-2.23860566918732,-2.489878991,-2.28269279047596
-1.938617485,-2.03091891957196,-2.007485157,-2.08833738411213,-2.081448687,-2.13207231848385,-2.161322905,-2.16649425923462,-2.248135194,-2.19429171008339
-2.057649253,-1.90179454504467,-2.210141283,-2.18249533675866,-2.378525907,-2.32894881736088,-2.562053794,-2.41887670665266,-2.753182388,-2.47971023458001
-2.540916447,-2.65577273155793,-2.630208534,-2.73765072941403,-2.728262449,-2.80073507010801,-2.836986675,-2.85083036778131,-2.958990322,-2.891573568683
-2.122652767,-2.17500895327525,-2.200767399,-2.2976793859172,-2.285504923,-2.38512729742109,-2.378093287,-2.45061823941438,-2.480137168,-2.50149940620581
-1.945910946,-1.9503973185544,-2.003983452,-2.04503002484189,-2.065637426,-2.12125812008263,-2.13134383,-2.18397475765421,-2.201673096,-2.23647977630237
-1.846390116,-1.88083326516073,-1.916997167,-2.01002136979345,-1.992970898,-2.10302159295329,-2.075194732,-2.17317100115307,-2.164789953,-2.22797043643126
-1.982817811,-1.89433817651368,-2.059188025,-2.01870328543617,-2.145191532,-2.09622943111019,-2.245267919,-2.14918446869833,-2.370827219,-2.18765174549295
-1.758581109,-1.80387098650955,-1.833917888,-1.92729799473872,-1.915396114,-2.0184091250562,-2.004106674,-2.08842695623159,-2.101459692,-2.14391636147819
-1.92604344,-1.75077195396098,-2.004721704,-1.95738150296303,-2.090122953,-2.08344937616863,-2.183504395,-2.16838903418972,-2.286512605,-2.22950437289585
-1.922926555,-1.90502369896893,-2.017183965,-2.03597466872841,-2.121259265,-2.13196745442186,-2.237438101,-2.20535170655636,-2.368910725,-2.26327331041728
-1.782214448,-1.71419180145793,-1.843282769,-1.80738811517111,-1.908324387,-1.87713706105,-1.977892537,-1.93129866757278,-2.052664703,-1.97457295293144
-1.887389565,-1.91369887061614,-1.965016914,-2.06133526257245,-2.049181277,-2.15735717194974,-2.141085705,-2.22480418242418,-2.242299326,-2.27477962653024
