T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
-2.066983439,-1.82319778280214,-2.117342766,-1.85589955284857,-2.170373268,-1.88413156375047,-2.226374266,-2.066983439,-2.285698394,-1.93041118576148
-2.475420585,-2.24771345413126,-2.551946922,-2.4834929699263,-2.634818466,-2.64160091271923,-2.725183364,-2.475420585,-2.82453267,-2.84028175140119
-1.303412365,-1.20602750603058,-1.312626217,-1.21296058934863,-1.321925754,-1.21891725898299,-1.331312586,-1.303412365,-1.340788365,-1.22862463984962
-1.995596987,-1.92877802381165,-2.097154901,-2.14260618132305,-2.210204929,-2.27812801537563,-2.337683757,-1.995596987,-2.483820919,-2.44019258634867
-1.746948724,-2.40108973172484,-1.808627127,-2.48686364852155,-1.874361277,-2.55436602149357,-1.944722334,-1.746948724,-2.020411312,-2.65380804905175
-1.896015428,-2.18250221599121,-1.956936163,-2.2354734469724,-2.021810384,-2.27648880823744,-2.091187051,-1.896015428,-2.165738047,-2.33586188415043
-2.19518933,-2.15790213125592,-2.264872986,-2.29175675489026,-2.339778611,-2.38753514274595,-2.420752718,-2.19518933,-2.508865959,-2.51545783828559
-1.851279157,-1.89092253553154,-1.921809721,-1.99487486308143,-1.997694896,-2.07124597846305,-2.079815008,-1.851279157,-2.169287075,-2.17594545708545
-1.827191649,-1.8618384902493,-1.895506946,-1.98389448673246,-1.968833671,-2.07351265244829,-2.047965694,-1.827191649,-2.133901875,-2.1962999470425
-1.892888975,-1.73795860389382,-1.982530264,-1.97346261047822,-2.081005495,-2.10611204836462,-2.190248061,-1.892888975,-2.312904948,-2.25044182766301
-1.626972137,-1.62281088056534,-1.705015747,-1.76679336912673,-1.789669695,-1.86616771617802,-1.882158277,-1.626972137,-1.984080949,-1.99439994865316
-1.748863068,-1.65450413424164,-1.837326888,-1.88826949656157,-1.93438279,-2.02422708526867,-2.041881112,-1.748863068,-2.162342849,-2.17582775666064
-1.795596936,-1.69929304623932,-1.875468643,-1.92603636350647,-1.962277965,-2.0625019672815,-2.057345734,-1.795596936,-2.162410049,-2.21884925206554
-1.763775985,-1.75000275950336,-1.851156524,-1.95612681863622,-1.946909878,-2.07709405856838,-2.052812319,-1.763775985,-2.171273173,-2.21293319599354
-1.737807802,-1.7491222934015,-1.867099916,-1.84305760874693,-2.006479375,-1.90434715876394,-2.154519139,-1.737807802,-2.306232204,-1.97950595294069
-1.741174745,-1.74678893253696,-1.85061594,-1.92870049134209,-1.973523354,-2.04387249304566,-2.113682054,-1.741174745,-2.276738025,-2.18147807357983
-1.719151712,-1.95105201569092,-1.775172561,-2.12162698701461,-1.834518968,-2.22474595554134,-1.897610817,-1.719151712,-1.964952908,-2.34331480974645
-1.920996364,-1.90435194051438,-2.007599636,-2.09543030229796,-2.102420309,-2.22222321692262,-2.207182864,-1.920996364,-2.324218951,-2.38005233824611
-1.92683665,-1.9518499666965,-2.032374812,-2.1507385313087,-2.15037995,-2.28260767964761,-2.284196975,-1.92683665,-2.438728626,-2.44663678709765
-2.146395626,-2.10521080675065,-2.293943078,-2.30387621454802,-2.454993163,-2.42216004094136,-2.627601897,-2.146395626,-2.802816828,-2.55650975647994
-1.898493531,-1.79617128846494,-2.036291893,-2.09611161285321,-2.186108905,-2.24853875375784,-2.346354612,-1.898493531,-2.508759362,-2.40263930850876
-2.275526376,-2.22535857896652,-2.382679961,-2.38659712312152,-2.502708864,-2.49403565276707,-2.639135232,-2.275526376,-2.797158962,-2.62827349628339
-1.95530361,-1.97303785422136,-2.041364736,-2.13350399464943,-2.135535805,-2.23741042369684,-2.239505835,-1.95530361,-2.355553477,-2.36398524016882
-1.979079888,-2.03932647638573,-2.052535235,-2.15635245570217,-2.131817085,-2.23915133936726,-2.217930012,-1.979079888,-2.312163116,-2.34853959104939
-1.991234347,-1.99412033181823,-2.075138493,-2.13868962810025,-2.166732696,-2.23470246494584,-2.267570135,-1.991234347,-2.379727943,-2.35430832324757
-1.980815531,-1.8545443919198,-2.08182403,-2.10531929026842,-2.194193544,-2.2479355054378,-2.320807482,-1.980815531,-2.4658087,-2.40424262664202
-2.07352212,-2.01756085856409,-2.162505014,-2.16191505679452,-2.260186157,-2.25812547255998,-2.368452171,-2.07352212,-2.489878991,-2.37835956133011
-1.938617485,-1.98664718647533,-2.007485157,-2.06281527654768,-2.081448687,-2.12083145064954,-2.161322905,-1.938617485,-2.248135194,-2.20336824777998
-2.057649253,-1.87425007635154,-2.210141283,-2.1579475168683,-2.378525907,-2.30596447066244,-2.562053794,-2.057649253,-2.753182388,-2.45833545761309
-2.540916447,-2.49333521792361,-2.630208534,-2.58601617548256,-2.728262449,-2.65742370505877,-2.836986675,-2.540916447,-2.958990322,-2.76024732487674
-2.122652767,-2.14721502363335,-2.200767399,-2.25250564859969,-2.285504923,-2.32756404028978,-2.378093287,-2.122652767,-2.480137168,-2.42744863129463
-1.945910946,-2.03496188257906,-2.003983452,-2.10909684638825,-2.065637426,-2.16881350306069,-2.13134383,-1.945910946,-2.201673096,-2.25907767053461
-1.846390116,-1.89340443300516,-1.916997167,-1.99852288131533,-1.992970898,-2.0741956980554,-2.075194732,-1.846390116,-2.164789953,-2.17586469762832
-1.982817811,-1.96547593594784,-2.059188025,-2.09837215160737,-2.145191532,-2.18121640026583,-2.245267919,-1.982817811,-2.370827219,-2.27891017020613
-1.758581109,-1.82094313950536,-1.833917888,-1.93294653796963,-1.915396114,-2.01562519488567,-2.004106674,-1.758581109,-2.101459692,-2.12951629969065
-1.92604344,-1.83757239496583,-2.004721704,-2.01028387352453,-2.090122953,-2.11566801991202,-2.183504395,-1.92604344,-2.286512605,-2.23775993148268
-1.922926555,-2.02600506702898,-2.017183965,-2.10673640748383,-2.121259265,-2.16591601555676,-2.237438101,-1.922926555,-2.368910725,-2.24686612428669
-1.782214448,-1.81999874937296,-1.843282769,-1.88510519433385,-1.908324387,-1.9338313904869,-1.977892537,-1.782214448,-2.052664703,-2.00189953797003
-1.887389565,-1.92609620390961,-1.965016914,-2.03544615390308,-2.049181277,-2.10656678912822,-2.141085705,-1.887389565,-2.242299326,-2.19353814231713
-1.92658719,-1.98753937420749,-1.996485131,-2.07976930662905,-2.071638433,-2.14601492264754,-2.152902075,-1.92658719,-2.2413583,-2.2348227341847
-1.937738511,-1.95908864583026,-2.014467034,-2.08269778100482,-2.097575757,-2.16669227988773,-2.188222768,-1.937738511,-2.287913228,-2.27352462947262
