smiles,target,task,
COC(C)COC(C)CO,0.190531412,vp,4.231426877
C=CCN(CC=C)CC=C,0.419309264,vp,6.17358169
FS(=O)(=O)O,0.372240295,vp,5.774000938
CC(=O)C=O,0.821561657,vp,9.588407093
C/C=CCC,1,vp,11.10321669
CC(=O)SCC,0.623043388,vp,7.903133763
CC(C)C(=O)C(C)C,0.578602613,vp,7.525864439
CC(O)COC(C)C,0.456870059,vp,6.492445066
c1c(O)c(C)cc(C)c1,0,vp,2.613956059
CCCCCS,0.573887745,vp,7.485838699
CCCCCCCCCCCCCCCCCC(=O)OCCCC,1,vd,1.945910149
NC=O,0.759325287,vd,1.20928865
CC(O)=O,0.406023,vd,0.127953364
CCCCCN,0.255976833,vd,-0.33128571
CCOC(=O)NC,0.733455734,vd,1.130110956
CC(C)N1CCOC1=O,0.786344052,vd,1.291983682
CN(C)C=O,0.287695963,vd,-0.234204499
CCC(C)(C)C,0.022143197,vd,-1.046969056
COC=O,0,vd,-1.114741671
Cc1cccc(C)[n+]1[O-],0.958498379,vd,1.818888137
C(Cl)(Cl)CCl,0.840915105,tk,-2.018533205
CC(C)(C)CCC(C)(C)C,0.495286023,tk,-2.289902323
CC(F)(F)CC(C)(F)F,0.372152556,tk,-2.38658001
c1ccccc1C(C)OC=O,0.668948102,tk,-2.153552323
C(F)(F)C(F)(F)C(F),0.24533853,tk,-2.486147472
C1(C)=CCCC1,0.752740134,tk,-2.087763387
S1C(C)=CC=C1,0.791949462,tk,-2.056978359
CC1(C)CO1,1,tk,-1.893628416
C[Hg]C,0,tk,-2.678773914
CC(C)C(C)C,0.482555269,tk,-2.299897817
