smiles,target,task
C[Si](C)(C)N[Si](C)(C)C,0.322084583,tk
C=C(C)C(C)(C)C,0.392231951,tk
n1c(C)cc(C)cc1(C),0.609791895,tk
COP(=O)(OC)OC,0.48985404,tk
COB(OC)OC,0.510225578,tk
FC(F)(F)C(=O)O,0.662849743,tk
P(OCC)(OCC)OCC,0.411938406,tk
CC[Ga](CC)CC,0.535946483,tk
OCCOCCOCCOC,0.696880018,tk
CCCCOCCOCCOCCO,0.651969599,tk
CCOC(OCC)OCC,0.388848718,tk
ClC(Cl)(F)C(F)(F)Cl,0.167242806,tk
ClC(Cl)(Cl)C(F)(F)F,0.19469924,tk
C(Cl)(Cl)CCl,0.538738127,tk
C(Cl)(Cl)(Cl)C,0.354292721,tk
c1(Cl)c(Cl)cc(Cl)cc1,0.430746942,tk
ClC(Cl)(Cl)C(=O)Cl,0.421803774,tk
C[Ge](Cl)(Cl)Cl,0.328826255,tk
C(Cl)(Cl)(Cl)C=O,0.493023307,tk
c1(C)c(N)cccc1,0.670719886,tk
c1(C)cc(N)ccc1,0.65615537,tk
c1(CS)ccccc1,0.587899449,tk
c1(C)c(N=C=O)cccc1(N=C=O),0.508009682,tk
[Ti+4].[Cl-].[Cl-].[Cl-].[Cl-],0.593932363,tk
S1C=CC=C1,0.602209046,tk
ClS(=O)Cl,0.561427765,tk
C[Si](C)(C)C,0.440230797,tk
CC(C)C(C)(C)C(C)C,0.410939182,tk
CC(C)(C)CC(C)(C)C,0.370132421,tk
CC(C)(C)C(C)(C)CC,0.406800069,tk
CC(C)(C)CCC(C)(C)C,0.361416993,tk
CN(C)CCN(C)C,0.500288137,tk
c1(C)c(C)c(C)cc(C)c1,0.503623319,tk
CO[Si](OC)(OC)OC,0.64998422,tk
C1CCCc2ccccc21,0.522779969,tk
C1COCC1,0.476064269,tk
CC(F)(F)CC(C)(F)F,0.298244746,tk
c1ccccc1(CCCCCCCCCCCCCC),0.528695892,tk
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),0.051676033,tk
[Ge](Cl)(Cl)(Cl)Cl,0.337736817,tk
C(Cl)(Cl)=C(Cl)Cl,0.4230949,tk
C(Cl)(Cl)C(Cl)(Cl),0.436706076,tk
C(Cl)(Cl)(Cl)C(Cl),0.347270691,tk
O=S(=O)=O,0.975769372,tk
COC(C)COC(C)COC(C)CO,0.631911109,tk
c1(cccn2)c2cccc1,0.60029033,tk
C1CCC(=O)N1,0.788049787,tk
C1CCCN1,0.667193927,tk
C1=CC=CN1,0.687623566,tk
OCC#C,0.695214595,tk
CCCS,0.553276465,tk
C1CCCCC1CCC,0.460390728,tk
CCCN,0.710380686,tk
CC(=O)OCCC,0.565065989,tk
OCCOCCOCCOCCC,0.659032208,tk
CCCOCCO,0.693690499,tk
CC(O)COCCC,0.613952588,tk
c1ccccc1/C=C/C,0.544319025,tk
CC(O)C,0.553659504,tk
NCCCN,0.851883061,tk
C=CCSCC=C,0.460362958,tk
C=CCOC(=O)C=C,0.58378505,tk
C1CCCCN1,0.740859268,tk
ClP(Cl)Cl,0.499444253,tk
ClP(=O)(Cl)Cl,0.488723035,tk
c1ccccc1([Si](Cl)(Cl)Cl),0.508618991,tk
c1(S)ccccc1,0.594398702,tk
c1(NN)ccccc1,0.576053821,tk
c1(C(C)OCC(O)C)ccccc1,0.580276152,tk
C(c1ccccc1)CO,0.659035149,tk
C/C(c1ccccc1)=CC,0.521518717,tk
C/C(c1ccccc1)=C/C,0.526535035,tk
C=C(c1ccccc1)CC,0.521155095,tk
c1ccccc1C(C)OC=O,0.45051238,tk
c1ccccc1(OC(C)=O),0.501472764,tk
c1ccccc1(OCC),0.575232373,tk
CC(C)(C)OOCC=C,0.456233146,tk
OOC(=O)C,0.799645001,tk
CC#CCC,0.527540146,tk
CCCCCOCCOCCO,0.646175948,tk
C=CCCC,0.473830574,tk
CC#CC=C,0.549559647,tk
CCCC(O)C,0.555437466,tk
CCCCCO,0.617003026,tk
CCCCC(=O)O,0.585183758,tk
CCCCCS,0.55082568,tk
CCCCC#N,0.629992553,tk
CC(=O)CC(=O)C,0.639253434,tk
OCCCC(O)C,0.634790982,tk
NCCCCCN,0.839071474,tk
C(F)(F)C(F)(F)C(F),0.233184228,tk
C=CCC=C,0.448870305,tk
c1(CCCCCCCCCCCCCCC)ccccc1,0.527656623,tk
CC(=O)C=O,0.586468886,tk
C1CC(C2CCOC2)CO1,0.545355061,tk
O1C=NC=C1,0.360407711,tk
C1CCCCO1,0.450893566,tk
C1COC1(=O),0.724121568,tk
C#CCCCCCC,0.546304007,tk
CC(=O)OCCCCCCCC,0.571117995,tk
C/C=C/CCCCC,0.549216163,tk
CCCCCCC(O)C,0.57151007,tk
CCCCCCCC(=O)O,0.596236383,tk
