task num,task quantity,MAE / Scale,R,Outliers removed,MAE / Scale Gnn,R GNN,Outliers removed GNN,,,,,scale
0,tk,0.111266631816545,0.286707448724639,1,0.11136451343224,0.310194350117902,1,,,,,5.35028629171476
1,vp,0.128084978001303,0.284873321237494,0,0.187469782476818,0.337097066686956,0,,,,,4.80550578924047
2,vd,0.098333310433459,0.816688093911423,0,0.246269546212173,-0.00948192774304433,,,,,,3.48759094541079
3,lipo,0.150923133430274,0.616476274098429,0,0.222303095670908,,,,,,,4.05251722780169
4,solubility,0.252028566255594,0.22693998278879,0,,,,,,,,4.24547044962706
5,U,0.133051152045855,0.679102336069089,0,,,,,,,,4.6978010260639
6,D,0.134757909946207,0.803303910654912,0,,,,,,,,4.30473873653549
7,PSA,0.0959608987321956,0.740065077765165,1,,,,,,,,5.33375459849841
8,LC50,0.237768304263272,0.410936487728759,0,,,,,,,,4.29129186146789
9,plC50,0.0726628729058456,-0.346269237214349,1,,,,,,,,4.45235411391344
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
0,-0.7725525,-0.61859787,0.15395463,,,,,,,,,
1,0.9190609,-0.6736468,1.5927077,0.900887125,-0.31045594297711,,,,,,,
2,-1.34623,-0.5188976,0.8273324,,,,,,,,,
3,-0.69900405,-0.5212166,0.17778745,,,,,,,,,
4,-0.16945553,-0.575708,0.40625247,,,,,,,,,
5,0.07325421,-0.62172425,0.69497846,,,,,,,,,
6,-1.6992624,-0.55229515,1.14696725,,,,,,,,,
7,1.0220287,-0.549388,1.5714167,,,,,,,,,
8,0.46306077,-0.49623722,0.95929799,,,,,,,,,
9,0.8969964,-0.5811798,1.4781762,,,,,,,,,
