,Train_loss,Val_loss,,
0,1,,1.0047606288,0.970776022040816
1,1,,0.9693044504,0.9330890733
2,1.477561,0.9272202,0.9013846649,0.9333934637
3,0.5696294,1.1654022,0.9692863659,0.9441450193
4,0.96121454,0.9919163,0.9411071807,0.9116592495
5,1.1898885,1.0617679,0.90646758,0.8991616209
6,0.8379655,1.0378098,0.8701334517,0.8843391305
7,1.0771433,0.86778253,0.8803645719,0.9148467512
8,1.230542,0.92609566,0.875051426,0.8979472264
9,1.021102,1.0458626,0.9240129519,0.8825514373
10,1.03107,0.8402004,0.8448356869,0.9181527746
11,1.2595837,1.0369853,0.9111877447,0.8930645347
12,0.5074291,0.91679454,0.8408860209,0.8774494159
13,1.2869362,0.9759952,0.8959861545,0.8832473286
14,0.86618054,0.9481093,0.8629268875,0.8693073892
15,1.0850356,0.86511797,0.8433259095,0.8882452525
16,0.46702275,0.88551134,0.840888929,0.8788335923
17,0.9448532,0.9373969,0.812247323,0.8606407403
18,0.7295774,0.99734116,0.818852834,0.8772570162
19,1.6249108,0.80258596,0.8509518435,0.8841016934
20,0.9666853,0.96596086,0.8267352935,0.8825166395
21,0.9013273,0.83403826,0.8432996615,0.8708758952
22,0.6708941,0.88333416,0.8427175626,0.8602497475
23,0.830738,1.0904948,0.8709039174,0.8686228798
24,1.220103,0.94113827,0.7962134025,0.820780276
25,0.6512004,0.94530696,0.7862526167,0.8494306793
26,0.9251275,1.0832171,0.7671565221,0.8428459174
27,0.80850124,0.9845128,0.7833462696,0.8526939363
28,1.1435524,0.93232465,0.7608563489,0.8310525375
29,1.0067184,0.9525281,0.8204879239,0.9099686788
30,0.80046505,1.076105,0.7369727677,0.8634456775
31,1.2436266,0.9219661,0.828593129,0.8754277256
32,0.7869791,0.975042,0.7869292024,0.8709571695
33,1.1658909,1.0112612,0.7749844595,0.8825805675
34,0.9152967,1.1078185,0.7581144788,0.8822372374
35,0.9036452,1.2039738,0.8133993048,0.8642399405
36,1.0525496,0.95636165,0.774705151,0.8974723666
37,0.7199275,1.1113784,0.8168415961,0.8437407344
38,1.0382406,0.72917736,0.7777042221,0.8474564133
39,0.87327355,0.96077204,0.7537667657,0.8644194259
40,1.012068,1.0510707,0.7779192049,0.844195798
41,1.5502889,0.8569689,0.6939172619,0.8508090472
42,1.2305896,0.9152517,0.7650722012,0.8520558529
43,1.8404291,1.0683585,0.7762882542,0.8162327276
44,0.63118565,0.84140795,0.7633141005,0.8168866598
45,1.3488092,1.06545,0.7959237905,0.8254164381
46,1.1073723,0.9955081,0.744061859,0.8125561226
47,1.4199562,1.2007976,0.7719731164,0.8282608177
48,0.72129977,1.0534211,0.8297026911,0.8594414772
49,1.1358421,1.0128994,0.7095681113,0.8351004455
50,0.9627074,1.0221052,0.7440295824,0.8153183306
51,1.5159916,0.8428451,0.8097970888,0.8469729647
52,0.86249495,1.2333386,0.7703867462,0.8503540551
53,1.2899605,0.79601926,0.7446082267,0.8430816203
54,1.0353737,0.8662869,0.7554498461,0.8063821415
55,1.2798653,0.94991875,0.7237237347,0.8243181087
56,0.9108321,0.88797706,0.7219632762,0.8325272368
57,0.88140416,0.7917719,0.6989626703,0.8128028985
58,0.7998829,1.0394828,0.7071254537,0.7966023248
59,1.0919473,1.0264044,0.7636340798,0.846828098
60,0.55179644,0.9349022,0.7393972093,0.8157031575
61,1.3923614,1.1069443,0.6998049946,0.8056119142
62,0.94406223,1.0243297,0.6602802964,0.7689418413
63,0.6376796,0.8963997,0.8011927513,0.8241833854
64,0.66250366,0.8164717,0.7951493116,0.8404509613
65,1.1718073,0.89132565,0.7043067685,0.7893333676
66,1.0959704,1.1012114,0.7349228015,0.8366838804
67,0.6951589,1.2330178,0.7096775277,0.8268521415
68,1.1279683,0.9785473,0.6915134576,0.8146938826
69,1.3438306,0.9853991,0.7401216334,0.8143682573
70,0.9483553,1.0914975,0.6770427367,0.7731183714
71,1.0652764,1.045723,0.724153452,0.8008364134
72,1.2460665,0.9053945,0.7259976161,0.8232572728
73,0.76799023,0.9237604,0.6564814758,0.7798155763
74,0.74959654,0.8498801,0.7061557773,0.7934908852
75,0.79396266,1.012423,0.697806004,0.8287208936
