T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
-2.066983439,-2.0510980510701,-2.117342766,-2.10152987679523,-2.170373268,-2.14506860263027,-2.226374266,-2.18303693519684,-2.285698394,-2.21643982863949
-2.475420585,-2.16854739355032,-2.551946922,-2.42159800194858,-2.634818466,-2.59128767639824,-2.725183364,-2.71298267830135,-2.82453267,-2.80452225652535
-1.303412365,-1.44164285412105,-1.312626217,-1.4877727454531,-1.321925754,-1.52740657331735,-1.331312586,-1.56182615742676,-1.340788365,-1.59199701069451
-1.995596987,-1.96667432441332,-2.097154901,-2.16738874898433,-2.210204929,-2.29459919564863,-2.337683757,-2.38243389429523,-2.483820919,-2.44672437378368
-1.896015428,-2.12253951477039,-1.956936163,-2.17768956884883,-2.021810384,-2.22039203069983,-2.091187051,-2.25443394296734,-2.165738047,-2.28220725579753
-2.19518933,-2.08994790792233,-2.264872986,-2.20988771545039,-2.339778611,-2.29570934727914,-2.420752718,-2.36015826683297,-2.508865959,-2.41033387975184
-1.851279157,-1.96150931856028,-1.921809721,-2.11500211952626,-1.997694896,-2.22776939145036,-2.079815008,-2.31412087552107,-2.169287075,-2.38236557945109
-1.827191649,-1.89971235018159,-1.895506946,-2.00001153710858,-1.968833671,-2.07365501009223,-2.047965694,-2.13002263598558,-2.133901875,-2.17455515612306
-1.892888975,-1.79302525542483,-1.982530264,-1.9879505146845,-2.081005495,-2.09774351293979,-2.190248061,-2.16817950404988,-2.312904948,-2.21720420864533
-1.626972137,-1.69223820805661,-1.705015747,-1.82483290318674,-1.789669695,-1.91634751058898,-1.882158277,-1.98331219828381,-1.984080949,-2.03443759704527
-1.748863068,-1.612194989477,-1.837326888,-1.82957132194283,-1.93438279,-1.95599715133851,-2.041881112,-2.03867770545623,-2.162342849,-2.09696920955427
-1.795596936,-1.64425305699672,-1.875468643,-1.9340669154475,-1.962277965,-2.1084915001782,-2.057345734,-2.22499839183052,-2.162410049,-2.30832785695276
-1.763775985,-1.71760369633835,-1.851156524,-1.90684544578516,-1.946909878,-2.01790515152395,-2.052812319,-2.09093749275783,-2.171273173,-2.14261855071952
-1.737807802,-1.79893814448049,-1.867099916,-1.92091761624795,-2.006479375,-2.00050502472628,-2.154519139,-2.05652783326367,-2.306232204,-2.09810222806289
-1.741174745,-1.64359560116636,-1.85061594,-1.88124063131587,-1.973523354,-2.03169878303312,-2.113682054,-2.1355135314274,-2.276738025,-2.2114634602206
-1.719151712,-1.9668071524587,-1.775172561,-2.12678572947733,-1.834518968,-2.22349877398283,-1.897610817,-2.28827950780743,-1.964952908,-2.33470202198072
-1.920996364,-1.86055846484942,-2.007599636,-2.07710893864869,-2.102420309,-2.2208044428365,-2.207182864,-2.32311704872943,-2.324218951,-2.39967323336876
-1.92683665,-1.89241239614721,-2.032374812,-2.1094407789352,-2.15037995,-2.25333704154591,-2.284196975,-2.35573605733975,-2.438728626,-2.43232665607795
-2.146395626,-2.08916479789292,-2.293943078,-2.28982998368859,-2.454993163,-2.40930453128007,-2.627601897,-2.48857232528314,-2.802816828,-2.54500645635496
-1.898493531,-1.78190130361178,-2.036291893,-2.11431744118949,-2.186108905,-2.28324822339747,-2.346354612,-2.38549517503981,-2.508759362,-2.45403395248619
-2.275526376,-2.17392344407479,-2.382679961,-2.37890269470753,-2.502708864,-2.51548711720723,-2.639135232,-2.6130142211913,-2.797158962,-2.68614109317868
-1.95530361,-1.91974005861228,-2.041364736,-2.09730959401481,-2.135535805,-2.2122905588451,-2.239505835,-2.29281643590814,-2.355553477,-2.35235637325223
-1.979079888,-1.95923626252231,-2.052535235,-2.11300276789311,-2.131817085,-2.22179646139253,-2.217930012,-2.30283038821494,-2.312163116,-2.36552724109506
-1.991234347,-1.9358493017226,-2.075138493,-2.09680032696405,-2.166732696,-2.20369269269073,-2.267570135,-2.27984536642209,-2.379727943,-2.33685147997949
-1.980815531,-1.85559513418932,-2.08182403,-2.10206314631689,-2.194193544,-2.24222997782853,-2.320807482,-2.33266722187323,-2.4658087,-2.39585262549899
-2.07352212,-1.92842877237671,-2.162505014,-2.05646970805896,-2.260186157,-2.14180763700757,-2.368452171,-2.20275203631506,-2.489878991,-2.24845427314689
-1.938617485,-2.01817928510012,-2.007485157,-2.08050765238939,-2.081448687,-2.12798248993918,-2.161322905,-2.16534779865804,-2.248135194,-2.19552237081754
-2.057649253,-1.88951535636735,-2.210141283,-2.18070167891904,-2.378525907,-2.33262577189562,-2.562053794,-2.42591286358475,-2.753182388,-2.48901875485906
-2.540916447,-2.63112339041791,-2.630208534,-2.71702074026567,-2.728262449,-2.78320186064204,-2.836986675,-2.83575636979156,-2.958990322,-2.87849955921415
-2.122652767,-2.16701650311784,-2.200767399,-2.30211239444806,-2.285504923,-2.39841811699122,-2.378093287,-2.47054286575796,-2.480137168,-2.5265778826264
-1.945910946,-1.90806234471968,-2.003983452,-2.01196400759413,-2.065637426,-2.09565821441047,-2.13134383,-2.16451768645106,-2.201673096,-2.22216536150683
-1.846390116,-1.88598265198527,-1.916997167,-2.01691003833822,-1.992970898,-2.11116234509385,-2.075194732,-2.1822561687552,-2.164789953,-2.23779336024061
-1.982817811,-1.87076955067396,-2.059188025,-1.99945125116743,-2.145191532,-2.07966829543073,-2.245267919,-2.13446130398708,-2.370827219,-2.17426379719445
-1.758581109,-1.83444698582957,-1.833917888,-1.97382696585929,-1.915396114,-2.0767140482296,-2.004106674,-2.1557816365964,-2.101459692,-2.21844305813446
-1.92604344,-1.67578927543097,-2.004721704,-1.90840911222349,-2.090122953,-2.05034803618881,-2.183504395,-2.14598082529698,-2.286512605,-2.21478998780296
-1.922926555,-1.88769097763549,-2.017183965,-2.03782375119397,-2.121259265,-2.1478774646474,-2.237438101,-2.23201090841438,-2.368910725,-2.29841690005772
-1.782214448,-1.68521153924257,-1.843282769,-1.77592120574782,-1.908324387,-1.8438091319241,-1.977892537,-1.89652560109199,-2.052664703,-1.93864526380709
-1.887389565,-1.89554797595886,-1.965016914,-2.05176839826898,-2.049181277,-2.15337327821085,-2.141085705,-2.22474187947341,-2.242299326,-2.27762295603075
-1.92658719,-1.88757798569977,-1.996485131,-1.99772301873244,-2.071638433,-2.07683638310276,-2.152902075,-2.13641305243655,-2.2413583,-2.18289434661495
-1.937738511,-1.87392576046819,-2.014467034,-2.01360501889627,-2.097575757,-2.10851945580253,-2.188222768,-2.17721649655676,-2.287913228,-2.22924074627007
-2.010402168,-1.91844738745619,-2.103999198,-2.13598332327849,-2.207269842,-2.26006038845148,-2.322446666,-2.3402567446669,-2.452637164,-2.39635263495346
-1.754672117,-1.75823171926917,-1.832684078,-1.867960356637,-1.917300788,-1.94148211712046,-2.009744915,-1.9941797345009,-2.111613597,-2.03380305931945
-1.967732753,-1.81984100549498,-2.048849703,-1.95466611057548,-2.137132128,-2.04300226775302,-2.2339697,-2.10535840727429,-2.341200204,-2.15172637622
-2.0057436,-1.92058334476264,-2.101251858,-2.12701323162656,-2.206854522,-2.24697565012755,-2.324940325,-2.32539047646781,-2.458861125,-2.38065625593854
-1.768747205,-1.80395284140876,-1.860056545,-1.95716966571739,-1.970005642,-2.0542775044675,-2.104363624,-2.12132738481702,-2.272392163,-2.17040469220029
