T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
-0.269772619,-2.349341253,0.177078547,-1.515662131,0.464842714,-0.936959125,0.677610772,-0.511775057,0.857432353,-0.186175005
-0.055565418,-0.219328425,0.354756127,0.245671629,0.606594753,0.550948185,0.777904572,0.766734524,0.910218348,0.927350237
-0.92408085,-1.02523252,0.043481822,-0.079771379,0.492200732,0.414901162,0.748975276,0.719120501,0.923564986,0.925120534
-0.771513367,-0.168132774,-0.024728121,0.300813258,0.400785663,0.606002612,0.666941144,0.82046131,0.855715119,0.979413788
-1.42406932,-1.529275647,-0.213869236,-0.382513609,0.344905012,0.25435444,0.657817927,0.659552342,0.870126523,0.940036773
-1.588826775,-1.416251311,-0.325899162,-0.321585513,0.26786796,0.265618625,0.595542206,0.631832482,0.809665897,0.88205106
-1.08619484,-1.161464231,-0.07174773,-0.153471021,0.420520465,0.372591905,0.707900627,0.695665187,0.908747959,0.914238063
-2.336494074,-2.301878174,-0.402290592,-0.471554546,0.311446463,0.279599932,0.664042996,0.688706065,0.880416775,0.946069194
-1.035080369,-1.196249547,0.031909451,-0.113786399,0.495740213,0.417859783,0.754915749,0.733844721,0.92822769,0.943265397
-1.581757579,-1.309274827,-0.298172169,-0.224715152,0.281958156,0.354977703,0.603241326,0.715770197,0.817511949,0.961961031
-1.484348599,-1.182830282,-0.095832704,-0.061379953,0.462289685,0.478312765,0.741196087,0.79569914,0.926163684,1.004676551
-0.724705372,-0.950495099,0.091316342,-0.08812441,0.498049295,0.387870152,0.73925972,0.689632441,0.908964553,0.898025883
-2.652875209,-2.640699377,-0.423308236,-0.56184977,0.312840644,0.250496702,0.66490593,0.683491633,0.884285083,0.952560624
-2.674931251,-2.582512936,-0.488750082,-0.546990528,0.282450922,0.258412694,0.653059243,0.690032726,0.875004853,0.959067841
-1.903543339,-1.726195771,-0.380572083,-0.378787281,0.271503744,0.276797842,0.613516973,0.664537336,0.829853606,0.920732932
-1.719589223,-1.703881228,-0.319413397,-0.385088883,0.296408371,0.259717305,0.628729028,0.642055314,0.844041839,0.895081012
-1.747204923,-1.84359692,-0.331791354,-0.49891982,0.292639584,0.180210006,0.626675517,0.589888408,0.846820522,0.863929319
-1.568300382,-1.34573555,-0.229167263,-0.227429782,0.367877447,0.34294189,0.686737026,0.688841904,0.890341226,0.920995318
-1.296810419,-1.284610626,-0.137549993,-0.199792851,0.401970561,0.368080871,0.701787644,0.717417407,0.902462847,0.954011415
-0.999022426,-1.002647606,0.009600186,-0.07918986,0.495248053,0.411141772,0.768490636,0.715183025,0.941551641,0.922150338
-3.342030893,-3.352301311,-0.888452201,-1.081023471,0.06331971,-0.035948711,0.522232507,0.564845984,0.792500415,0.955003489
-1.491888736,-1.294100091,-0.220272834,-0.175788381,0.354080379,0.387124936,0.666108,0.726085488,0.86401694,0.952566399
-2.059852163,-1.991873634,-0.355669073,-0.421109848,0.321654247,0.282286758,0.665321007,0.681309065,0.878723764,0.938378443
-1.261597051,-1.135238691,-0.163427788,-0.159186185,0.36545951,0.368248632,0.664411783,0.698562049,0.863568419,0.924862669
-1.002264154,-0.942712446,-0.042072711,-0.054655928,0.429456949,0.427759758,0.706019447,0.730790099,0.892440958,0.938804148
-1.098573244,-1.125943539,-0.121834623,-0.160110062,0.370243341,0.364746083,0.661822485,0.694503754,0.86357335,0.920895489
-1.254443995,-1.123208662,-0.06890779,-0.107985338,0.449987232,0.427737308,0.736391076,0.758770933,0.934553274,0.983610525
-0.745828527,-0.790731821,0.065120261,0.005015913,0.480953245,0.454370822,0.729101123,0.743082841,0.904528949,0.944233699
-2.718236851,-2.541711324,-0.569845628,-0.682488161,0.215390759,0.142916526,0.600808899,0.609201665,0.84160004,0.908860718
-2.817079938,-2.77985542,-0.475206684,-0.605771523,0.30225739,0.226100069,0.667694654,0.665537303,0.890540073,0.937236744
-1.562671503,-1.443822494,-0.221261116,-0.264309633,0.364405072,0.32659635,0.677153304,0.681510309,0.887240533,0.918272663
-0.792166024,-0.852183419,0.06883364,-0.040977024,0.478672746,0.418823107,0.725154773,0.71490256,0.907652695,0.921490105
-2.392932975,-2.278530009,-0.443231985,-0.533692302,0.281453267,0.230834815,0.64290817,0.660025679,0.86776943,0.934824243
-0.648953847,-0.708356441,0.079140229,0.029341037,0.475520682,0.462801602,0.72183161,0.748057374,0.897623091,0.950020784
-2.302045734,-2.372078792,-0.60851899,-0.780281355,0.138102787,0.029995281,0.53188607,0.520861044,0.780549994,0.850086703
-1.657049956,-1.488856545,-0.208928073,-0.228128088,0.395137408,0.374080922,0.71099747,0.726874792,0.922930992,0.958621513
-0.700495055,-0.700039952,0.056882441,0.060772373,0.472017479,0.495683513,0.729763548,0.777158633,0.902956622,0.974220254
-1.837651171,-1.699235374,-0.272607937,-0.308571151,0.370697013,0.346528154,0.717344847,0.727595661,0.948640373,0.976834573
