SMILES,Temp,K,lnK,lnA,splits,temp_input,lnA_input,K_target,Train_order,,Temp_max,1073.1
C[Si](C)(C)O[Si](C)(C)C,204.93,0.113590792,-2.175152832,-2.959224677,0,5.23642219294393,-2.91019184122046,-0.284903927063252,578,,target_mean,-2.09006306087981
C[Si](C)(C)O[Si](C)(C)C,283.4475,0.103728994,-2.265973608,-2.959224677,0,3.78588627523615,-2.91019184122046,-0.588996832716787,635,,target_stdev,0.298661278548456
C[Si](C)(C)O[Si](C)(C)C,361.965,0.093867196,-2.365874304,-2.959224677,0,2.96465127843852,-2.91019184122046,-0.923491804698204,989,,,
C[Si](C)(C)O[Si](C)(C)C,440.4825,0.084005398,-2.47687422,-2.959224677,0,2.43619213022084,-2.91019184122046,-1.29515001409006,807,,,
C[Si](C)(C)O[Si](C)(C)C,519,0.0741436,-2.601751526,-2.959224677,0,2.06763005780347,-2.91019184122046,-1.71327353718928,8,,,
C[Si](C)(C)N[Si](C)(C)C,293.15,0.095360013,-2.350095945,-3.480209757,val,3.6605833191199,-4.65459299871926,-0.870661524600679,490,,,
C[Si](C)(C)N[Si](C)(C)C,319.65,0.089576388,-2.412663526,-3.480209757,val,3.35710933833881,-4.65459299871926,-1.08015497250959,307,,,
C[Si](C)(C)N[Si](C)(C)C,346.15,0.083792763,-2.479408642,-3.480209757,val,3.10010111223458,-4.65459299871926,-1.30363595512773,850,,,
C[Si](C)(C)N[Si](C)(C)C,372.65,0.078009138,-2.550929312,-3.480209757,val,2.87964578022273,-4.65459299871926,-1.54310680433726,551,,,
C[Si](C)(C)N[Si](C)(C)C,399.15,0.072225513,-2.627961937,-3.480209757,val,2.68846298384066,-4.65459299871926,-1.80103319296852,26,,,
CC(S)(C)CC(C)(C)C,199,0.13962658,-1.968783706,-2.808965508,2,5.39246231155779,-2.40708286864026,0.406076594425804,842,,,
CC(S)(C)CC(C)(C)C,256.4125,0.127995956,-2.055756611,-2.808965508,2,4.18505338078292,-2.40708286864026,0.114867417853926,626,,,
CC(S)(C)CC(C)(C)C,313.825,0.116365331,-2.151020627,-2.808965508,2,3.41942165219469,-2.40708286864026,-0.204102675835483,226,,,
CC(S)(C)CC(C)(C)C,371.2375,0.104734707,-2.256324724,-2.808965508,2,2.89060237718442,-2.40708286864026,-0.556689718627893,1073,,,
CC(S)(C)CC(C)(C)C,428.65,0.093104083,-2.37403724,-2.808965508,2,2.5034410358101,-2.40708286864026,-0.95082355670728,31,,,
CC(C)=CC(C)(C)C,166.84,0.13478282,-2.004090537,-2.819129143,val,6.43191081275473,-2.44111351047438,0.287859625786289,1182,,,
CC(C)=CC(C)(C)C,219.645,0.123456148,-2.091869267,-2.819129143,val,4.88561087208905,-2.44111351047438,-0.00604767423806968,548,,,
CC(C)=CC(C)(C)C,272.45,0.112129475,-2.188101049,-2.819129143,val,3.93870434942191,-2.44111351047438,-0.32825811433162,1099,,,
CC(C)=CC(C)(C)C,325.255,0.100802803,-2.294589121,-2.819129143,val,3.29925750564941,-2.44111351047438,-0.684809430650728,1135,,,
CC(C)=CC(C)(C)C,378.06,0.08947613,-2.413783393,-2.819129143,val,2.83843834312014,-2.44111351047438,-1.08390459484243,1085,,,
C=C(C)CC(C)(C)C,179.7,0.13135901,-2.02982117,-2.85715889,test,5.97161936560935,-2.56844754984108,0.201706398541516,518,,,
C=C(C)CC(C)(C)C,228.4225,0.120800844,-2.113612005,-2.85715889,test,4.69787345817509,-2.56844754984108,-0.0788483335859212,1123,,,
C=C(C)CC(C)(C)C,277.145,0.110242679,-2.205071175,-2.85715889,test,3.87198037128579,-2.56844754984108,-0.385078757712233,661,,,
C=C(C)CC(C)(C)C,325.8675,0.099684513,-2.305744953,-2.85715889,test,3.29305622684066,-2.56844754984108,-0.722162220587941,425,,,
