smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R,,smiles,Temp,Eta,lnEta,lnA
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,353.15,338.0760683,318.0714207,305.6295518,298.15,1.1931,1.48715,2.0886,2.66115,3.1282,-5.040763297,1839.105777,,CCC(=C)c1cccc(c1)C(C)(C)N=C=O,353.15,1.1931,0.176554962,-5.040763297
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,353.15,338.0760683,318.0714207,305.6295518,298.15,1.4519,1.83465,2.607,3.33065,3.9129,-5.053487549,1911.885811,,CCC(=C)c1cccc(c1)C(C)(C)N=C=O,338.0760683,1.48715,0.396861537,-5.040763297
CC(Cl)Cl,327.69,315.0999451,302.838699,290.4614352,280.21,0.3476,0.3906,0.44215,0.5045,0.5686,-3.958092126,951.1742735,,CCC(=C)c1cccc(c1)C(C)(C)N=C=O,318.0714207,2.0886,0.736493985,-5.040763297
FC(F)C(Cl)Cl,328.15,323.15,313.15,303.15,293.15,0.468,0.494,0.554,0.626,0.713,-4.290543507,1158.615174,,CCC(=C)c1cccc(c1)C(C)(C)N=C=O,305.6295518,2.66115,0.97875836,-5.040763297
CC(c1cccc(C)c1)c2cccc(C)c2,315.15,305.15,295.15,285.15,278.15,34.84,46.88,63.49,95.69,119.15,-5.816135931,2946.021758,,CCC(=C)c1cccc(c1)C(C)(C)N=C=O,298.15,3.1282,1.140457759,-5.040763297
CC(N)CN,323.15,305.6295518,288.15,270.6269074,253.15,0.94,1.311,1.925,3.321,6.965,-7.395159795,2345.401954,,CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,353.15,1.4519,0.372873044,-5.053487549
CC(Br)CBr,409.82,380.4918714,342.846643,304.6616624,273.51,0.468,0.5965,0.8575,1.3705,2.285,-3.874211021,1276.198151,,CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,338.0760683,1.83465,0.606853728,-5.053487549
CCCCCCCCC1CCCc2c(C)ccc(C)c12,388.15,372.05,333.15,310.95,293.15,2.022,2.688,6.701,14.68,34.36,-8.613167741,3545.60694,,CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,318.0714207,2.607,0.958200135,-5.053487549
CCCCCCc1cc2CCCCc2cc1CCCC,372.05,333.15,310.95,293.15,273.15,2.5,6.287,13.3,29.21,92.05,-10.55846929,4112.324811,,CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,305.6295518,3.33065,1.20316748,-5.053487549
CCCCCCC1CCCc2ccc(CCCC)cc12,372.05,333.15,310.95,293.15,273.15,2.158,5.017,10.08,20.81,61.43,-9.960702929,3838.946303,,CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,298.15,3.9129,1.364278787,-5.053487549
BrCCBr,399.86,368.96,340.45,304.36,282.64,0.532,0.694,0.922,1.445,2.053,-3.904184406,1302.565557,,CC(Cl)Cl,327.69,0.3476,-1.056702886,-3.958092126
BrC=CBr,378.87,354.4249178,325.9508465,298.0976012,274.01,0.454,0.545,0.6905,0.9095,1.217,-3.343086353,968.6529509,,CC(Cl)Cl,315.0999451,0.3906,-0.940071261,-3.958092126
CC(C)(Br)CBr,415.59,387.4576994,346.769937,302.0076667,273.54,0.4941,0.6368,0.9839,1.72205,3.2903,-4.098175498,1410.737069,,CC(Cl)Cl,302.838699,0.44215,-0.816106088,-3.958092126
Clc1ccccc1Cl,451.75,422.193138,393.15,348.128066,296.45,0.3257,0.39115,0.4826,0.71735,1.319,-3.767455831,1194.646971,,CC(Cl)Cl,290.4614352,0.5045,-0.684187439,-3.958092126
ClCCCl,354.22,335.296533,313.4958177,291.3916352,273.46,0.4217,0.50755,0.64305,0.8545,1.1211,-4.148466963,1162.734138,,CC(Cl)Cl,280.21,0.5686,-0.56457808,-3.958092126
FC(F)(Cl)C(F)(F)Cl,333,304.1606557,278.9856631,266.9850187,253,0.263,0.3465,0.45,0.5225,0.632,-4.113115104,924.659528,,FC(F)C(Cl)Cl,328.15,0.468,-0.759286983,-4.290543507
C=CC=C,333.15,313.15,293.15,273.15,253.15,0.095,0.119,0.149,0.188,0.244,-5.297044696,989.1628946,,FC(F)C(Cl)Cl,323.15,0.494,-0.705219762,-4.290543507
C1CC=CC=C1,354.65,343.2712216,325.45,308.4205754,292,0.3107,0.3456,0.4128,0.49955,0.6114,-4.330159055,1121.064789,,FC(F)C(Cl)Cl,313.15,0.554,-0.590590592,-4.290543507
Clc1cccc(Cl)c1,445.45,412.6453295,390.2284497,357.7609986,303.75,0.2948,0.36065,0.4218,0.54975,0.951,-3.732626125,1119.362497,,FC(F)C(Cl)Cl,303.15,0.626,-0.468404908,-4.290543507
Fc1cccc(F)c1,333.15,323.15,315.15,303.15,293.15,0.3786,0.4156,0.461,0.5122,0.5743,-3.956667562,998.3631135,,FC(F)C(Cl)Cl,293.15,0.713,-0.338273859,-4.290543507
COc1cccc(OC)c1,485.15,458.144342,422.756448,363.0164258,313.65,0.2622,0.3155,0.41935,0.77035,1.623,-4.578932018,1567.370103,,CC(c1cccc(C)c1)c2cccc(C)c2,315.15,34.84,3.550766152,-5.816135931
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,500.15,472.073753,451.15,417.5754454,373.15,0.6573,0.8046,0.951,1.3895,3.59,-4.956622678,2262.568601,,CC(c1cccc(C)c1)c2cccc(C)c2,305.15,46.88,3.847591145,-5.816135931
Clc1ccc(Cl)cc1,445.45,423.15,403.15,374.45,333.85,0.3042,0.3479,0.3981,0.4953,0.722,-3.778181704,1152.342842,,CC(c1cccc(C)c1)c2cccc(C)c2,295.15,63.49,4.150882413,-5.816135931
Fc1ccc(F)cc1,333.15,323.15,315.15,303.15,293.15,0.4135,0.4565,0.5075,0.568,0.639,-3.992091701,1039.999149,,CC(c1cccc(C)c1)c2cccc(C)c2,285.15,95.69,4.5611138,-5.816135931
COc1ccc(OC)cc1,484.15,458.2486744,432.65,385.1058324,334.95,0.2613,0.3133,0.3811,0.58065,1.087,-4.448501292,1505.243686,,CC(c1cccc(C)c1)c2cccc(C)c2,278.15,119.15,4.780383204,-5.816135931
CCCCCCCCC1CCCC2C(C)CCC(C)C12,372.05,333.15,310.95,293.15,273.15,2.184,4.881,9.496,19.03,55.23,-9.638467507,3721.494071,,CC(N)CN,323.15,0.94,-0.061875404,-7.395159795
CC(C)CBr,361.08,341.4683486,317.4639768,292.9953345,273.49,0.323,0.3885,0.49,0.64,0.82,-4.001599204,1041.921641,,CC(N)CN,305.6295518,1.311,0.270790205,-7.395159795
CCCBr,341,321.4525745,304.0870943,290.2240793,273.64,0.3328,0.3938,0.4589,0.52995,0.6414,-3.756407341,906.8604135,,CC(N)CN,288.15,1.925,0.654925968,-7.395159795
CCCCO,387.26,320.6305083,308.150995,298.15199,263.15,0.4259,1.4595,1.949,2.5165,7.4,-6.843978411,2320.517312,,CC(N)CN,270.6269074,3.321,1.200265942,-7.395159795
CC(C)CCl,338.45,324.3555003,306.4896154,288.4306306,273.15,0.2877,0.3278,0.3935,0.4826,0.5816,-4.208918187,1003.539757,,CC(N)CN,253.15,6.965,1.940897607,-7.395159795
CC(F)(F)Cl,333,313,293,273,253,0.246,0.278,0.321,0.377,0.454,-3.33776256,644.7222352,,CC(Br)CBr,409.82,0.468,-0.759286983,-3.874211021
CCCCl,317.83,306.0095772,296.3634887,285.4865519,273.64,0.2784,0.3108,0.34195,0.3807,0.4327,-3.984030569,861.4427848,,CC(Br)CBr,380.4918714,0.5965,-0.516676037,-3.874211021
[O-][N+](=O)c1ccccc1F,333.15,323.15,313.15,303.15,298.15,1.346,1.585,1.835,2.19,2.427,-4.656538028,1651.529101,,CC(Br)CBr,342.846643,0.8575,-0.1537341,-3.874211021
[O-][N+](=O)c1ccc(F)cc1,338.15,333.6,323.15,313.2,303.25,1.248,1.332,1.56,1.84,2.245,-4.958013107,1748.088445,,CC(Br)CBr,304.6616624,1.3705,0.315175637,-3.874211021
CCCCCF,333.15,323.15,313.15,303.15,293.15,0.2525,0.2775,0.3035,0.335,0.372,-4.150996123,926.8696509,,CC(Br)CBr,273.51,2.285,0.826366024,-3.874211021
CCCCCCCO,313.15,305.630553,303.15,298.15099,293.15196,3.5786,4.48015,4.995,5.9395,7.056,-8.682921159,3116.180702,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,388.15,2.022,0.704087121,-8.613167741
CCCCCC=C,368.15,335.6313794,315.6301996,295.6288601,273.15,0.2,0.245,0.285,0.345,0.44,-3.910056334,840.1136197,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,372.05,2.688,0.988797423,-8.613167741
CCCCCCS,373.15,342.8585823,308.0688707,288.0632396,273.15,0.3583,0.4706,0.68105,0.88605,1.1155,-4.115541078,1150.900897,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,333.15,6.701,1.902256769,-8.613167741
CCCCC#C,333.15,323.15,313.15,303.15,293.15,0.242,0.268,0.298,0.333,0.373,-4.539013771,1041.685795,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,310.95,14.68,2.686486023,-8.613167741
