smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R
CCC(=C)c1cccc(c1)C(C)(C)N=C=O,353.15,338.0760683128789,318.0714207134999,305.6295517749059,298.15,1.1931,1.48715,2.0886,2.66115,3.1282,-5.040763296654037,1839.10577682896
CCC(=C)c1ccc(cc1)C(C)(C)N=C=O,353.15,338.0760683128789,318.0714207134999,305.6295517749059,298.15,1.4519,1.83465,2.607,3.33065,3.9129,-5.053487549177864,1911.885811121368
CC(Cl)Cl,327.68999999999994,315.09994509853703,302.8386990259204,290.46143523539035,280.2099999999999,0.3476,0.3906,0.44215,0.5045,0.5686,-3.958092125530341,951.1742734569092
FC(F)C(Cl)Cl,328.1499999999999,323.15,313.15,303.15,293.15,0.468,0.494,0.554,0.626,0.713,-4.290543506906615,1158.615174008789
CC(c1cccc(C)c1)c2cccc(C)c2,315.1499999999999,305.15,295.15000000000003,285.15,278.1499999999999,34.84,46.88,63.49,95.69,119.15,-5.816135931219309,2946.021757672774
CC(N)CN,323.15,305.6295517749059,288.15,270.62690744503965,253.14999999999998,0.94,1.311,1.925,3.321,6.965,-7.395159794802796,2345.401954070838
CC(Br)CBr,409.81999999999994,380.4918714118682,342.84664304978503,304.6616624288456,273.50999999999993,0.468,0.5965,0.8575,1.3705,2.285,-3.874211020673771,1276.198151179789
CCCCCCCCC1CCCc2c(C)ccc(C)c12,388.15000000000003,372.05000000000007,333.15,310.95000000000005,293.15,2.022,2.688,6.701,14.68,34.36,-8.613167740624476,3545.606940034057
CCCCCCc1cc2CCCCc2cc1CCCC,372.05000000000007,333.15,310.95000000000005,293.15,273.15000000000003,2.5,6.287,13.3,29.21,92.05,-10.55846929489156,4112.32481079808
CCCCCCC1CCCc2ccc(CCCC)cc12,372.05000000000007,333.15,310.95000000000005,293.15,273.15000000000003,2.158,5.017,10.08,20.81,61.43,-9.960702929006962,3838.946303246485
BrCCBr,399.86,368.96,340.45,304.35999999999996,282.64,0.532,0.694,0.922,1.445,2.053,-3.904184406304627,1302.56555670483
BrC=CBr,378.86999999999995,354.4249178385545,325.9508465478637,298.0976011536462,274.01,0.454,0.5449999999999999,0.6905,0.9095,1.217,-3.343086352746225,968.6529509271566
CC(C)(Br)CBr,415.59000000000003,387.45769940272703,346.76993701445645,302.0076667108138,273.53999999999996,0.4941,0.6368,0.9839,1.72205,3.2903,-4.098175498194347,1410.737068614635
Clc1ccccc1Cl,451.75000000000006,422.1931379514507,393.15000000000003,348.12806602081093,296.45,0.3257,0.39115,0.4826,0.7173499999999999,1.319,-3.76745583104024,1194.646970781227
ClCCCl,354.22,335.2965329675245,313.49581769180475,291.39163518451795,273.4599999999999,0.4217,0.5075500000000001,0.64305,0.8545,1.1211,-4.148466962879253,1162.734137654642
FC(F)(Cl)C(F)(F)Cl,333.0,304.1606557377049,278.98566308243727,266.98501872659176,253.00000000000003,0.263,0.3465,0.45,0.5225,0.632,-4.113115104158383,924.6595279586239
C=CC=C,333.15,313.15,293.15,273.15000000000003,253.14999999999998,0.095,0.119,0.149,0.188,0.244,-5.297044695886258,989.1628946398936
C1CC=CC=C1,354.65000000000003,343.27122160745483,325.45000000000005,308.42057536466774,292.0,0.3107,0.3456,0.4128,0.4995499999999999,0.6114,-4.330159054657782,1121.064788831584
Clc1cccc(Cl)c1,445.4500000000001,412.645329537194,390.2284497117234,357.760998603352,303.74999999999994,0.2948,0.36065,0.4218,0.54975,0.951,-3.732626124853565,1119.362497115314
Fc1cccc(F)c1,333.15,323.15,315.1499999999999,303.15,293.15,0.3786,0.4156,0.461,0.5122,0.5743,-3.956667561597927,998.363113522537
COc1cccc(OC)c1,485.1500000000001,458.1443419903972,422.7564479905436,363.01642581888245,313.65,0.2622,0.3155,0.41935,0.7703500000000001,1.623,-4.578932018025364,1567.3701031979
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,500.15000000000003,472.07375304458344,451.15,417.575445414325,373.1499999999999,0.6573,0.8046,0.951,1.3895,3.59,-4.956622677691504,2262.568600982409
Clc1ccc(Cl)cc1,445.4500000000001,423.1499999999999,403.15,374.45,333.85,0.3042,0.3479,0.3981,0.4953,0.722,-3.778181704420499,1152.342842011282
Fc1ccc(F)cc1,333.15,323.15,315.1499999999999,303.15,293.15,0.4135,0.4565,0.5075,0.568,0.639,-3.992091701101011,1039.999148667697
COc1ccc(OC)cc1,484.1499999999999,458.2486744490507,432.6500000000001,385.1058323601921,334.94999999999993,0.2613,0.3133,0.3811,0.58065,1.087,-4.448501291632958,1505.243685742326
CCCCCCCCC1CCCC2C(C)CCC(C)C12,372.05000000000007,333.15,310.95000000000005,293.15,273.15000000000003,2.184,4.881,9.496,19.03,55.23,-9.638467506553024,3721.494071236364
CC(C)CBr,361.08000000000004,341.46834855938164,317.4639768199927,292.99533450493954,273.49,0.323,0.3885,0.49,0.64,0.82,-4.001599204034269,1041.921640832262
CCCBr,341.0,321.45257453923324,304.0870942812983,290.22407932772643,273.63999999999993,0.3328,0.3938,0.4589,0.52995,0.6414,-3.756407340986062,906.860413503826
CCCCO,387.26000000000005,320.6305083424294,308.15099499678723,298.1519899999517,263.15,0.4259,1.4595,1.949,2.5165,7.4,-6.84397841148221,2320.517311696402
CC(C)CCl,338.45,324.3555002697495,306.4896153846154,288.43063056817,273.15000000000003,0.2877,0.3278,0.3935,0.4826,0.5816,-4.208918187275652,1003.539757416097
CC(F)(F)Cl,333.0,313.0,292.99999999999994,273.0,253.00000000000003,0.246,0.278,0.321,0.377,0.454,-3.33776255951045,644.7222351601529
CCCCl,317.83,306.0095771656374,296.3634887055688,285.4865518992662,273.63999999999993,0.2784,0.3108,0.34195,0.3807,0.4327,-3.984030569469492,861.4427847940209
[O-][N+](=O)c1ccccc1F,333.15,323.15,313.15,303.15,298.15,1.346,1.585,1.835,2.19,2.427,-4.65653802772115,1651.52910062298
[O-][N+](=O)c1ccc(F)cc1,338.15000000000003,333.6,323.15,313.19999999999993,303.25000000000006,1.248,1.332,1.56,1.84,2.245,-4.958013106939866,1748.088444646672
CCCCCF,333.15,323.15,313.15,303.15,293.15,0.2525,0.2775,0.3035,0.335,0.372,-4.150996123000099,926.8696509286639
CCCCCCCO,313.15,305.63055295077817,303.15,298.15098999671267,293.15196,3.5786,4.48015,4.995,5.939500000000001,7.056,-8.682921159489007,3116.18070174502
CCCCCC=C,368.15000000000003,335.63137941307906,315.63019958815136,295.62886013867745,273.15000000000003,0.2,0.245,0.285,0.345,0.44,-3.910056334133949,840.1136197466504
CCCCCCS,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.15000000000003,0.3583,0.4706,0.6810499999999999,0.88605,1.1155,-4.115541078275015,1150.900896720663
CCCCC#C,333.15,323.15,313.15,303.15,293.15,0.242,0.268,0.298,0.333,0.373,-4.539013771013573,1041.685795219148
CC(C)CI,389.22,365.4020827120129,332.9478665585683,301.1821636961067,273.6,0.349,0.4225,0.5645,0.79155,1.154,-3.821264907616694,1080.605004654119
CCCI,372.03999999999996,343.01201882997645,315.60732963725644,297.66276443518865,273.45400000000006,0.362,0.4565,0.5845,0.7015,0.934,-3.636417975857538,977.5345673752672
CCCOC,308.3,300.74331066815176,290.76410406313937,280.92972112971836,273.45,0.2187,0.23425,0.25715,0.2834,0.3064,-4.161271748809913,814.6260240460655
CCCCCCCCCS,393.15000000000003,353.15,313.15,293.15,272.75,0.4872,0.7188,1.2013,1.6814,2.578,-4.488184962182404,1471.179926573934
