smiles,Temp,Eta,lnEta,LnA,splits,Train_order,temp_input,lnA_input,target,,Temp_max,372.039
CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,273.15,4.823827852,1.57356777305016,-3.240221879,0,179,1.36203185063152,-5.99419129856044,0.83172887626311,,target_mean,0.98701420146958
CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,298.15,3.264102915,1.18298496693567,-3.240221879,0,7,1.24782492034211,-5.99419129856044,0.277885179528131,,target_stdev,0.705222084167516
CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,310.928,2.493815464,0.913813852539549,-3.240221879,0,67,1.19654389440642,-5.99419129856044,-0.103797584581374,,,
CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,333.15,1.915385138,0.649918718860494,-3.240221879,0,53,1.11673120216119,-5.99419129856044,-0.4779990448073,,,
CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,372.039,1.378187498,0.320769228647468,-3.240221879,0,126,1,-5.99419129856044,-0.944730727780008,,,
CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,273.15,4.619584363,1.53030473632797,-3.105502907,1,157,1.36203185063152,-5.80316073524643,0.77038219173144,,,
CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,298.15,3.297368079,1.1931245984406,-3.105502907,1,133,1.24782492034211,-5.80316073524643,0.292263106329576,,,
CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,310.928,2.518617637,0.923710194265003,-3.105502907,1,22,1.19654389440642,-5.80316073524643,-0.0897646409915034,,,
CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,333.15,1.932790556,0.658964842570925,-3.105502907,1,153,1.11673120216119,-5.80316073524643,-0.465171704436771,,,
CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,372.039,1.385880754,0.32633586099136,-3.105502907,1,72,1,-5.80316073524643,-0.936837281915415,,,
CCCCCC[C@@H](CCCCCCCCCCCCCCC)CCCC,273.15,5.018351619,1.61310151703178,-3.269187812,2,69,1.36203185063152,-6.03526478966387,0.887787449681572,,,
CCCCCC[C@@H](CCCCCCCCCCCCCCC)CCCC,298.15,3.373334811,1.21590181323459,-3.269187812,2,10,1.24782492034211,-6.03526478966387,0.324561038151839,,,
CCCCCC[C@@H](CCCCCCCCCCCCCCC)CCCC,310.928,2.568180394,0.943197630245253,-3.269187812,2,80,1.19654389440642,-6.03526478966387,-0.0621315925976002,,,
CCCCCC[C@@H](CCCCCCCCCCCCCCC)CCCC,333.15,1.96556226,0.675778341796305,-3.269187812,2,121,1.11673120216119,-6.03526478966387,-0.441330279724117,,,
CCCCCC[C@@H](CCCCCCCCCCCCCCC)CCCC,372.039,1.408355457,0.342422681130067,-3.269187812,2,16,1,-6.03526478966387,-0.914026283082762,,,
CCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCC,273.15,6.247949752,1.83225337025152,-3.381425562,3,142,1.36203185063152,-6.19441713687445,1.19854325007379,,,
CCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCC,298.15,4.103285542,1.41178800450673,-3.381425562,3,161,1.24782492034211,-6.19441713687445,0.602326292062418,,,
CCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCC,310.928,3.067622457,1.12090281758851,-3.381425562,3,14,1.19654389440642,-6.19441713687445,0.189853124462179,,,
CCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCC,333.15,2.30786791,0.836324115638925,-3.381425562,3,35,1.11673120216119,-6.19441713687445,-0.21367749140831,,,
CCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCC,372.039,1.606754433,0.474216264250982,-3.381425562,3,71,1,-6.19441713687445,-0.727143900809534,,,
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,273.15,5.642906423,1.7303992560035,-3.216403411,test,38,1.36203185063152,-5.96041687694952,1.05411482598628,,,
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,298.15,3.941738727,1.37162192723411,-3.216403411,test,25,1.24782492034211,-5.96041687694952,0.545371074444646,,,
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,310.928,2.948649615,1.0813473079216,-3.216403411,test,62,1.19654389440642,-5.96041687694952,0.13376368745369,,,
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,333.15,2.228667136,0.801403709919066,-3.216403411,test,52,1.11673120216119,-5.96041687694952,-0.263194383326238,,,
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,372.039,1.561433334,0.445604203265719,-3.216403411,test,152,1,-5.96041687694952,-0.767715603862536,,,
c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,273.15,6.032816634,1.79721400516281,-3.443157602,5,158,1.36203185063152,-6.28195273932637,1.14885767459996,,,
c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,298.15,4.139668742,1.42061577062627,-3.443157602,5,100,1.24782492034211,-6.28195273932637,0.614844002891001,,,
c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,310.928,3.030007285,1.10856502380882,-3.443157602,5,12,1.19654389440642,-6.28195273932637,0.172358218876146,,,
c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,333.15,2.24237378,0.807535027970968,-3.443157602,5,75,1.11673120216119,-6.28195273932637,-0.254500217063507,,,
c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,372.039,1.551671433,0.439332693807009,-3.443157602,5,58,1,-6.28195273932637,-0.776608560562997,,,
c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,273.15,7.248646607,1.9808147765441,-3.725528668,6,127,1.36203185063152,-6.68235294280742,1.40920228873386,,,
c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,298.15,4.8444627,1.57783634136029,-3.725528668,6,34,1.24782492034211,-6.68235294280742,0.837781676375256,,,
c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,310.928,3.406099222,1.22556771334877,-3.725528668,6,114,1.19654389440642,-6.68235294280742,0.338267217143084,,,
c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,333.15,2.452424196,0.897077003111191,-3.725528668,6,89,1.11673120216119,-6.68235294280742,-0.127530320416094,,,
c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,372.039,1.659481215,0.506505032439224,-3.725528668,6,43,1,-6.68235294280742,-0.681358652569107,,,
[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,273.15,5.729762525,1.74567408571424,-3.094908276,7,146,1.36203185063152,-5.78813762233228,1.07577442805159,,,
[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,298.15,4.032762725,1.39445168078582,-3.094908276,7,177,1.24782492034211,-5.78813762233228,0.577743505859156,,,
[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,310.928,3.037170247,1.1109262421151,-3.094908276,7,29,1.19654389440642,-5.78813762233228,0.175706409976921,,,
