smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Intercept (A),Coefficient (B),,smiles,Temp
CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,273.15,298.15,310.928,333.15,372.039,4.82382785194724,3.26410291522166,2.49381546361138,1.91538513776043,1.37818749757444,-3.24022187859989,1309.12125556006,,CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,
CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,273.15,298.15,310.928,333.15,372.039,4.61958436342909,3.29736807871598,2.51861763733135,1.93279055618074,1.38588075391323,-3.10550290704583,1266.27088163128,,CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,
CCCCCC[C@@H](CCCCCCCCCCCCCCC)CCCC,273.15,298.15,310.928,333.15,372.039,5.01835161867446,3.37333481089691,2.56818039354716,1.96556225975977,1.40835545656642,-3.26918781167311,1327.59887175274,,CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,
CCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.24794975165938,4.10328554215239,3.0676224570798,2.30786791015654,1.60675443271926,-3.3814255616041,1418.44090511352,,CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.64290642267784,3.94173872677103,2.94864961465362,2.22866713621905,1.5614333340123,-3.21640341142889,1351.21917423965,,CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,
c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.03281663354828,4.13966874199791,3.03000728476977,2.2423737802195,1.55167143303608,-3.44315760215082,1431.40753245315,,CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,
c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,7.2486466071203,4.84446269967276,3.40609922230893,2.4524241962409,1.65948121494299,-3.72552866815963,1558.6877439254,,CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,
[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,273.15,298.15,310.928,333.15,372.039,5.72976252509404,4.0327627251629,3.0371702474596,2.30786791015654,1.62995224444087,-3.0949082759155,1322.2050971453,,CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,
C1CCC(CC1)CCC(CCCCCCCC)CCC1CCCCC1,273.15,298.15,310.928,333.15,372.039,11.7574789846269,6.43897867771716,4.28838515093809,2.90793394002,1.83575349869517,-4.68843828306107,1940.85711780601,,CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,
C(CCCCCCCCCCCCC)(CC(CC)CC)CC(CC)CC,273.15,298.15,310.928,333.15,372.039,5.56550417259354,3.56741629376011,2.65158076807219,1.99410649937076,1.40557168721319,-3.57376622971884,1436.05593623176,,CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,
