original_smiles,augmented_smiles
O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,O=S(=O)(Nc1cccc(-c2cnccn2)c1)c1cccs1
O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,ccc(cc)-c1nc(-c2ccc(-c3cn(CCP)nn3)cc2)nc1-c(cc)cc=O
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,CCCn1c(C(C)CC)nc2cc(C(N)=O)ccc21
NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,CCC(C)c1nc2cc(C(N)=O)ccc2n1CC
CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,Nc1cccc(-c2cnc3ccccc3n2)c1
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,O=C(Nc1cccc(-c2cnccn2)c1)C1CC1
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,O=C(Nc1cccc(-c2cnccn2)c1)c1ccco1
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,ccc(cc)-c1ccnc(Nc2cc(O)c(O)c(OC)c2)n1
CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,Cc1cc(F)c2nnc(Sc3ccc4ncc5c(c4c3)OCC(=O)N5C)n2c1
COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,cc1cCN(c2nc(C(=O)Nc3cnccc3N3CCNCC3)cs2)C1=O
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,ccc(cc)-c1nc2ccccc2n1CCCN
CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,CS(=O)(=O)Nc1cccc(-c2cnccn2)c1
NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,NCCCn1c(C2CCCCC2)nc2ccccc21
N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,CNc1cccc(-c2cnc3ccccc3n2)c1
O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,cnc(cn)-c1cccc(NC(=O)CN2CCN(c3ccccc3)CC2)c1
NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccccc3)nc21
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,CC(C)CNc1c(Cl)cnc2nc(-c3cccc(F)c3)nc12
COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,cc(c)-c1nc2ncc(Cl)c(NCC3CCN(C)CC3)c2n1
O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,CN1NC(=O)C(=Cc2cc(Cl)ccc2OCc2ccccc2)C1=O
COc1ccc(-c2nc3[nH]cc(Cl)c(NC4CCN(C)CC4)c-3n2)cc1,COc1ccc(-c2nc3ncc(Cl)c(NC(C)C)c3n2)cc1
C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,ccc(cc)-c1nc(-c(cc)cc)c(-c2ccnc(=O)c2)n1
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNC4)c-3n2)cc1,ccc(c)-c1nc2ncc(Cl)c(NCC3CCNC3)c2n1
NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,ccc(cc)-c1nc2ccccc2n1CCN
COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,CCNc1c(Cl)cnc2nc(-c3cc(OC)ccc3F)nc12
